11/06/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		919		305		183		173		11		0
	2		919		307		183		169		13		0
	3		919		303		182		169		14		0
	4		919		280		182		167		18		0
	5		919		281		182		167		13		0
	6		919		276		180		166		14		0
	7		918		267		178		167		20		37
	8		917		272		179		203		8		259
	9		913		271		178		215		0		656
	10		909		269		177		211		6		862
	11		909		274		178		211		16		916
	12		910		271		178		210		28		912
	13		911		270		178		198		32		882
	14		911		270		178		215		30		813
	15		911		272		177		216		24		693
	16		910		274		183		214		36		406
	17		912		276		182		214		57		55
	18		913		274		177		229		70		0
	19		913		276		178		237		102		0
	20		913		277		182		230		117		0
	21		913		278		184		233		148		0
	22		915		280		184		218		201		0
	23		918		277		184		177		207		0
	24		918		279		184		169		343		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1591		2248		10713		5947		835		
	2		1590		2249		10178		5800		830		
	3		1587		2250		9653		5811		830		
	4		1566		2250		9695		5667		830		
	5		1563		2251		9971		5735		843		
	6		1555		2250		10644		6267		1176		
	7		1588		2256		11887		6305		1804		
	8		1839		2253		12517		6769		1890		
	9		2234		2249		13409		6600		1656		
	10		2435		2246		13924		6657		1841		
	11		2504		2247		14335		7266		1838		
	12		2509		2246		15208		7211		1754		
	13		2470		2245		15907		7083		1702		
	14		2417		2245		16519		7053		1672		
	15		2293		2248		16921		6974		1688		
	16		2024		2245		16956		7027		1758		
	17		1698		2246		16784		6980		2103		
	18		1663		2246		17668		7054		2610		
	19		1707		2244		17225		7286		2701		
	20		1719		2244		16387		7205		2598		
	21		1755		2244		15571		7260		1958		
	22		1798		2245		13877		7197		1723		
	23		1763		2245		12224		6925		1549		
	24		1893		2245		11355		6275		1053		
