11/04/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		896		247		187		189		72		0
	2		869		249		187		186		65		0
	3		870		266		187		185		54		0
	4		870		270		187		186		58		0
	5		870		269		187		186		43		0
	6		892		271		187		192		43		0
	7		912		272		187		193		47		0
	8		920		271		184		195		58		42
	9		918		272		180		216		61		266
	10		916		270		181		219		83		527
	11		915		279		183		220		98		675
	12		914		287		181		219		95		752
	13		913		285		178		220		119		775
	14		913		283		174		221		183		749
	15		911		283		176		233		190		671
	16		911		283		182		231		201		525
	17		912		282		186		233		177		249
	18		912		283		188		231		116		27
	19		913		283		187		230		124		0
	20		912		282		188		230		140		0
	21		911		287		186		229		170		0
	22		911		293		186		230		137		0
	23		911		293		186		228		129		0
	24		913		293		186		215		137		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1589		2257		10323		6464		1125		
	2		1554		2257		9817		6557		992		
	3		1559		2257		9419		6348		955		
	4		1567		2256		9048		6402		927		
	5		1552		2256		8900		6589		942		
	6		1582		2255		8979		6551		1017		
	7		1609		2254		9033		6787		1075		
	8		1667		2254		9122		6523		1306		
	9		1911		2255		9416		6644		1388		
	10		2311		2255		9964		6479		1537		
	11		2537		2254		10251		6852		1548		
	12		2598		2256		10642		7149		1525		
	13		2629		2254		11293		6939		1512		
	14		2663		2252		11494		6949		1493		
	15		2621		2251		11645		7246		1527		
	16		2515		2251		12091		7342		1514		
	17		2214		2251		12573		7524		1545		
	18		1794		2249		13246		7503		1802		
	19		1732		2249		14429		7965		2578		
	20		1750		2249		14475		8088		2667		
	21		1781		2250		13707		8208		2462		
	22		1754		2251		13154		8082		1970		
	23		1744		2252		11897		7815		1664		
	24		1740		2252		10328		7626		1286		
