11/11/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		928		312		188		203		1529		0
	2		928		313		188		199		1191		0
	3		929		315		187		199		776		0
	4		928		315		188		198		571		0
	5		928		315		188		198		375		0
	6		928		314		188		202		138		0
	7		926		314		187		222		61		30
	8		926		314		186		227		83		237
	9		925		312		185		227		143		611
	10		924		313		185		232		219		832
	11		925		315		185		244		282		895
	12		924		316		186		245		198		892
	13		924		316		187		245		151		882
	14		923		315		187		243		105		814
	15		923		315		187		244		97		671
	16		922		314		186		245		115		361
	17		923		313		186		265		114		38
	18		924		312		185		265		110		0
	19		924		313		173		268		122		0
	20		924		313		160		273		139		0
	21		924		313		162		251		153		0
	22		924		312		158		244		173		0
	23		927		312		149		226		179		0
	24		927		312		156		196		189		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3160		2250		8971		5964		1066		
	2		2819		2253		8827		5788		992		
	3		2406		2256		8884		5819		1022		
	4		2200		2255		8945		5881		905		
	5		2004		2255		9111		6013		901		
	6		1770		2256		9263		5771		1140		
	7		1741		2256		9636		5811		1262		
	8		1973		2257		10141		5813		1275		
	9		2403		2256		10231		6045		1351		
	10		2705		2255		9897		6442		1477		
	11		2847		2253		9792		6266		1781		
	12		2761		2252		10103		5939		1783		
	13		2704		2251		10168		5786		1766		
	14		2587		2250		9940		5982		1788		
	15		2436		2252		9986		5840		1983		
	16		2143		2252		10519		5930		1998		
	17		1839		2251		11418		6353		2113		
	18		1796		2252		12807		7594		2684		
	19		1800		2256		13098		7750		2774		
	20		1809		2257		12969		7520		2714		
	21		1802		2256		12728		7421		2348		
	22		1810		2255		12125		7356		1750		
	23		1794		2257		11655		6283		1488		
	24		1779		2256		10872		5924		1292		
