11/12/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		928		312		161		198		192		0
	2		928		309		161		193		186		0
	3		929		314		161		192		174		0
	4		928		316		162		193		212		0
	5		929		321		162		210		212		0
	6		928		318		162		223		195		0
	7		927		312		164		238		176		30
	8		927		314		161		274		160		232
	9		926		295		154		281		171		600
	10		925		289		152		298		161		834
	11		924		297		153		299		191		899
	12		923		307		165		280		206		900
	13		923		309		186		265		201		886
	14		922		311		179		254		145		817
	15		923		318		165		244		103		660
	16		923		323		163		245		71		351
	17		923		325		163		248		57		41
	18		922		325		164		316		59		0
	19		922		325		164		317		79		0
	20		921		323		164		316		88		0
	21		922		323		164		286		64		0
	22		922		324		164		254		60		0
	23		925		325		163		214		85		0
	24		925		325		163		211		81		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1789		2192		10876		5690		823		
	2		1777		2059		10840		5571		808		
	3		1770		1924		10805		5626		811		
	4		1811		1789		11170		5420		832		
	5		1833		1688		11179		5498		1011		
	6		1826		1642		11731		6197		1129		
	7		1847		1635		11398		7443		1862		
	8		2068		1635		12526		7130		1942		
	9		2428		1635		12912		6998		2334		
	10		2658		1635		13570		6474		2433		
	11		2763		1634		13578		6657		2434		
	12		2782		1631		13558		6690		2333		
	13		2771		1630		13260		6838		2380		
	14		2629		1628		13209		6599		2743		
	15		2412		1628		13372		6690		2576		
	16		2077		1629		13512		6925		2556		
	17		1758		1630		14152		7182		2786		
	18		1786		1633		16002		7589		3248		
	19		1807		1633		16433		7512		3131		
	20		1813		1635		15938		7530		2964		
	21		1759		1636		15438		7258		2818		
	22		1724		1636		14713		7003		2193		
	23		1711		1636		13454		6523		1563		
	24		1706		1633		12049		6164		1589		
