11/26/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		926		354		208		208		57		0		0
	2		927		354		207		207		76		0		0
	3		927		353		208		208		100		0		0
	4		927		350		208		209		111		0		0
	5		927		352		209		209		131		0		0
	6		926		349		209		208		113		0		0
	7		925		345		207		223		54		9		0
	8		924		345		207		230		16		159		0
	9		922		346		205		229		11		427		39
	10		921		348		207		251		10		573		130
	11		920		351		207		252		16		723		120
	12		919		354		207		252		28		681		97
	13		917		354		208		235		36		507		90
	14		918		352		207		237		34		446		105
	15		919		354		208		234		24		309		131
	16		919		353		200		235		18		138		110
	17		919		358		194		250		15		6		2
	18		920		358		194		264		16		0		0
	19		920		356		198		267		19		0		0
	20		919		356		205		254		19		0		0
	21		918		355		209		262		15		0		0
	22		917		356		210		249		16		0		0
	23		920		357		210		222		15		0		0
	24		921		354		209		206		22		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1739		2250		9071		6151		1243				
	2		1751		2249		8733		5900		1133				
	3		1777		2251		8291		6133		1139				
	4		1788		2251		8200		6094		1212				
	5		1806		2251		9126		5731		1286				
	6		1784		2252		10319		5840		1549				
	7		1752		2252		11340		7028		2041				
	8		1867		2254		12164		7416		2259				
	9		2163		2253		12988		6972		2130				
	10		2429		2253		13536		6600		2003				
	11		2583		2252		12780		7098		2135				
	12		2534		2251		12974		7124		2097				
	13		2342		2249		13186		7145		2154				
	14		2295		2248		13606		6996		2021				
	15		2175		2248		13852		6753		1997				
	16		1968		2248		13802		7015		1993				
	17		1732		2248		14368		7032		2545				
	18		1732		2248		16036		7383		3174				
	19		1739		2249		16552		7026		3143				
	20		1732		2250		16382		7070		2755				
	21		1743		2250		15346		7337		2585				
	22		1737		2250		14039		7272		2283				
	23		1714		2250		13097		6487		1661				
	24		1704		2251		11918		5911		1171				
