11/19/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		927		270		207		210		544		0
	2		928		267		208		172		651		0
	3		928		269		208		173		576		0
	4		927		271		209		172		757		0
	5		927		276		209		209		964		0
	6		927		279		208		216		981		0
	7		925		277		207		222		888		20
	8		925		287		207		230		550		188
	9		924		289		207		243		297		504
	10		922		289		210		242		207		779
	11		921		288		207		242		124		857
	12		920		274		206		236		96		862
	13		920		294		206		238		97		833
	14		920		294		206		243		59		758
	15		920		298		205		240		98		602
	16		920		299		205		245		121		317
	17		920		302		205		258		323		21
	18		920		296		205		308		637		0
	19		920		296		206		314		580		0
	20		921		296		206		305		254		0
	21		921		294		207		256		90		0
	22		923		296		207		237		28		0
	23		925		299		207		224		28		0
	24		924		299		208		216		54		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2158		2252		9952		5591		845		
	2		2226		2253		10030		5270		593		
	3		2154		2253		10132		4834		760		
	4		2336		2253		10148		4456		908		
	5		2586		2253		10237		4916		687		
	6		2612		2254		10313		5350		1133		
	7		2539		2254		11360		5771		1601		
	8		2387		2254		12243		6478		1669		
	9		2464		2254		13031		6567		1653		
	10		2647		2254		13149		6833		1699		
	11		2638		2257		13391		6825		1856		
	12		2593		2253		13506		6805		1926		
	13		2588		2252		13694		6739		1813		
	14		2479		2253		13820		6794		1830		
	15		2362		2253		13834		6807		1884		
	16		2106		2253		13942		6872		1933		
	17		2029		2253		14302		7030		2098		
	18		2366		2253		15336		7544		2720		
	19		2316		2252		15499		7291		2805		
	20		1982		2252		15530		7256		2391		
	21		1768		2252		14619		7667		2134		
	22		1691		2252		13530		7331		2089		
	23		1683		2254		12848		6255		1926		
	24		1701		2253		11866		6104		1433		
