11/23/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		929		299		198		232		101		0
	2		929		301		205		226		75		0
	3		929		299		211		188		69		0
	4		929		300		210		194		69		0
	5		929		300		209		231		71		0
	6		929		297		207		232		63		0
	7		928		298		206		240		95		14
	8		927		298		209		266		99		178
	9		924		300		210		274		77		498
	10		922		299		208		284		78		786
	11		922		300		209		287		86		861
	12		921		302		211		284		134		865
	13		920		302		212		268		149		833
	14		919		309		213		276		142		768
	15		920		326		210		290		95		605
	16		921		331		209		275		64		305
	17		922		308		210		273		44		19
	18		922		308		213		274		38		0
	19		924		308		211		315		49		0
	20		923		308		210		282		84		0
	21		923		307		209		274		70		0
	22		922		307		208		252		34		0
	23		925		306		209		231		21		0
	24		925		307		210		229		17		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1759		2250		8736		6094		1209		
	2		1736		2250		8866		5615		1184		
	3		1696		2249		8598		5889		1143		
	4		1703		2248		8546		5760		1163		
	5		1740		2249		8383		6010		1155		
	6		1728		2250		9005		6164		1203		
	7		1783		2250		9344		6191		1490		
	8		1976		2251		9522		6065		1681		
	9		2283		2250		10212		5951		1695		
	10		2579		2248		10240		6169		1739		
	11		2665		2249		10605		6058		1811		
	12		2716		2249		10984		5950		1714		
	13		2684		2247		10614		6389		1712		
	14		2627		2247		10952		6138		1792		
	15		2446		2247		11028		6310		1825		
	16		2105		2247		11284		6538		1868		
	17		1777		2249		11899		6680		2199		
	18		1755		2248		12816		7604		2902		
	19		1806		2249		12723		7678		2761		
	20		1807		2250		12725		7425		2400		
	21		1784		2249		12098		7739		2031		
	22		1724		2249		11717		7602		1748		
	23		1691		2248		11285		6978		1421		
	24		1687		2248		10062		6600		1311		
