10/30/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		918		293		179		194		241		0
	2		920		290		178		191		272		0
	3		920		293		179		192		299		0
	4		921		299		180		193		203		0
	5		921		300		174		192		174		0
	6		921		292		177		204		133		0
	7		920		286		175		233		134		0
	8		919		285		177		252		178		47
	9		917		285		176		265		219		265
	10		914		286		178		266		178		620
	11		915		290		179		268		126		794
	12		914		276		178		272		51		856
	13		915		297		179		275		37		845
	14		915		301		177		270		51		819
	15		916		303		181		267		43		759
	16		915		307		180		276		71		647
	17		915		308		181		278		90		420
	18		916		306		182		290		96		75
	19		917		307		182		272		142		0
	20		917		307		182		268		201		0
	21		917		306		182		268		383		0
	22		918		301		181		239		465		0
	23		921		289		182		214		597		0
	24		921		289		181		191		702		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1825		2254		11369		5794		1069		
	2		1851		2255		10809		5757		877		
	3		1884		2254		10254		5731		872		
	4		1795		2251		10236		5680		890		
	5		1762		2250		10840		5316		923		
	6		1727		2252		11538		5689		1162		
	7		1748		2255		12259		7414		1275		
	8		1858		2257		12471		8564		1604		
	9		2126		2258		12652		8424		1668		
	10		2441		2254		12664		8732		1523		
	11		2571		2250		12949		8949		1571		
	12		2546		2251		12690		9289		1867		
	13		2548		2251		13136		8688		2051		
	14		2533		2249		14319		7982		1992		
	15		2470		2251		14273		8543		1796		
	16		2396		2253		14247		8687		1847		
	17		2193		2261		14266		8709		1880		
	18		1864		2257		13952		8908		2213		
	19		1820		2257		15465		8635		2623		
	20		1875		2253		15498		8680		2576		
	21		2056		2254		14633		8860		2056		
	22		2103		2257		13456		8683		1716		
	23		2203		2257		12629		7444		1353		
	24		2285		2253		11423		6598		1120		
