12/03/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		866		335		190		309		875		0		0
	2		867		340		190		274		926		0		0
	3		867		347		188		267		933		0		0
	4		868		347		190		264		841		0		0
	5		868		349		191		263		839		0		0
	6		867		347		190		299		789		0		0
	7		865		341		190		297		731		7		0
	8		865		338		189		281		695		118		0
	9		862		344		188		289		590		299		0
	10		860		322		186		290		539		483		33
	11		860		323		182		334		660		616		46
	12		860		332		181		343		828		695		25
	13		861		325		182		353		948		671		25
	14		860		325		183		365		1044		615		38
	15		860		323		183		323		1258		392		34
	16		861		335		184		315		1195		158		30
	17		862		335		188		353		1066		11		0
	18		839		331		189		360		987		0		0
	19		838		329		188		373		910		0		0
	20		838		340		189		360		630		0		0
	21		837		339		189		364		464		0		0
	22		837		329		188		326		229		0		0
	23		837		329		188		324		144		0		0
	24		837		327		189		323		141		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2572		1618		8129		6876		1889				
	2		2595		1616		7799		6543		1901				
	3		2600		1610		7548		6490		1888				
	4		2507		1587		7824		6308		1872				
	5		2506		1587		8142		6462		1857				
	6		2489		1587		8745		7112		1793				
	7		2432		1586		10463		8010		1910				
	8		2483		1586		11581		8114		2299				
	9		2570		1587		12057		8416		2097				
	10		2712		1586		12382		8287		2233				
	11		3022		1586		11932		8679		1978				
	12		3264		1586		11652		8860		1898				
	13		3362		1586		12299		8056		1913				
	14		3427		1586		12154		8184		1942				
	15		3370		1585		12191		8056		1952				
	16		3074		1584		12623		7669		2106				
	17		2811		1586		12821		8730		2321				
	18		2699		1585		15452		8419		2867				
	19		2630		1585		16398		7950		2684				
	20		2353		1585		15992		8111		2655				
	21		2189		1585		15617		7625		2599				
	22		1905		1585		14398		7681		2400				
	23		1803		1585		12958		7198		1959				
	24		1793		1585		11023		6925		1894				
