05/09/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		894		262		199		225		2648		0		0
	2		895		252		199		225		2267		0		0
	3		895		255		200		194		1867		0		0
	4		895		258		200		197		1864		0		0
	5		896		259		201		184		2185		0		0
	6		896		259		200		222		2358		0		0
	7		895		258		198		237		2099		160		0
	8		895		250		199		265		1976		889		0
	9		895		245		196		249		2050		1979		0
	10		894		245		197		253		2363		2737		0
	11		894		250		198		269		2586		3075		0
	12		893		250		198		281		2903		3275		0
	13		893		250		197		279		3227		3338		0
	14		893		250		196		272		2977		3581		75
	15		893		251		200		273		3217		3610		128
	16		893		252		200		272		3660		3408		81
	17		893		254		196		271		3692		2858		66
	18		894		254		200		279		3499		1988		49
	19		894		255		201		300		3185		800		1
	20		895		255		204		324		3224		0		0
	21		895		253		204		328		3293		0		0
	22		896		239		202		314		3615		0		0
	23		897		222		203		255		3677		0		0
	24		897		221		202		223		3356		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4228		2290		5682		8188		1558				
	2		3837		2289		5034		8481		1511				
	3		3410		2289		4868		8313		1921				
	4		3415		2289		4856		8374		1644				
	5		3724		2289		4874		8441		1348				
	6		3935		2289		5199		8672		1410				
	7		3848		2290		6284		8765		1868				
	8		4473		2290		6983		8450		2429				
	9		5614		2289		7393		8397		1838				
	10		6688		2289		7630		8059		1598				
	11		7272		2289		7534		8039		1627				
	12		7801		2288		7479		7886		1586				
	13		8184		2288		7365		7414		1642				
	14		8243		2288		7366		7688		1716				
	15		8572		2287		7238		7707		1568				
	16		8765		2289		6870		7817		1582				
	17		8231		2290		7087		7791		1598				
	18		7164		2288		7200		7839		2227				
	19		5636		2289		7769		8188		2563				
	20		4901		2289		8247		8473		2704				
	21		4973		2289		8988		8928		2693				
	22		5266		2290		8357		8768		2495				
	23		5254		2288		7526		8728		1662				
	24		4899		2288		6480		8323		1442				
