11/18/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1081		319		178		60		300		0		0		
	2		1081		317		178		50		274		0		0		
	3		1073		318		177		18		286		0		0		
	4		1027		319		177		16		335		0		0		
	5		1027		314		174		53		289		0		0		
	6		1028		321		168		53		246		0		0		
	7		1028		317		163		53		256		70		0		
	8		1029		317		158		60		225		1144		0		
	9		1027		320		158		64		236		2505		53		
	10		1028		321		159		66		228		2991		379		
	11		1029		323		157		67		322		3449		467		
	12		1028		319		157		69		358		3325		269		
	13		1030		318		167		71		383		2971		184		
	14		1030		323		170		71		311		3005		110		
	15		1031		320		169		71		257		2037		113		
	16		1031		324		166		68		148		1005		24		
	17		1032		323		171		88		112		0		0		
	18		1033		319		173		141		91		0		0		
	19		1034		319		177		149		121		0		0		
	20		1035		318		177		149		96		0		0		
	21		1035		316		176		146		94		0		0		
	22		1035		318		176		91		53		0		0		
	23		1035		319		176		76		32		0		0		
	24		1035		319		177		69		17		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1939		2263		11262		5018		418						
	2		1899		2263		10724		4856		398						
	3		1872		2264		10519		4805		292						
	4		1874		2264		10510		4761		313						
	5		1858		2265		10577		5030		545						
	6		1816		2264		12310		4831		648						
	7		1887		2262		13746		5295		1152						
	8		2932		2263		14740		4521		1056						
	9		4363		2263		13213		5242		787						
	10		5170		2260		12374		5704		694						
	11		5813		2258		12328		5440		607						
	12		5525		2257		12299		5754		806						
	13		5123		2256		12725		5885		841						
	14		5021		2256		12824		6024		749						
	15		3997		2256		12720		6910		932						
	16		2766		2255		13768		7122		955						
	17		1725		2259		15501		6814		1393						
	18		1756		2260		17787		6555		1530						
	19		1799		2259		17442		6529		1647						
	20		1774		2260		16722		6534		1687						
	21		1767		2259		15988		6292		1624						
	22		1673		2256		14983		6030		1301						
	23		1639		2257		13168		6101		999						
	24		1616		2256		11920		5810		605						
