01/11/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1065		342		167		186		22		0		0		
	2		1065		340		167		182		35		0		0		
	3		1066		339		166		145		51		0		0		
	4		1066		340		166		144		34		0		0		
	5		1066		341		166		145		59		0		0		
	6		1066		322		165		192		72		0		0		
	7		1066		321		164		195		132		0		0		
	8		1066		321		165		196		119		162		0		
	9		1065		320		165		198		129		670		0		
	10		1064		325		163		189		148		1262		0		
	11		1063		322		163		189		270		1735		0		
	12		1061		322		163		191		385		1980		0		
	13		1060		325		163		192		512		1981		0		
	14		1059		324		163		191		364		1777		0		
	15		1058		320		163		190		227		1330		0		
	16		1058		327		161		191		125		669		0		
	17		1059		326		162		203		61		140		0		
	18		1060		326		163		214		63		0		0		
	19		1061		327		162		215		70		0		0		
	20		1060		328		163		209		113		0		0		
	21		1061		329		166		205		129		0		0		
	22		1061		325		167		199		111		0		0		
	23		1061		325		170		202		120		0		0		
	24		1060		317		171		203		114		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1782		2269		8263		6974		1022						
	2		1790		2270		8158		6462		916						
	3		1766		2269		7960		6381		894						
	4		1751		2267		7912		6302		802						
	5		1777		2268		7899		6364		743						
	6		1816		2268		7496		6738		901						
	7		1877		2267		7912		6755		1003						
	8		2028		2267		7845		7288		1089						
	9		2546		2267		8433		7287		1033						
	10		3153		2267		8663		7282		1052						
	11		3741		2267		8580		7326		904						
	12		4103		2266		8574		7057		899						
	13		4233		2265		8609		6853		806						
	14		3878		2266		8886		6718		841						
	15		3287		2266		8831		7306		846						
	16		2531		2265		9127		7852		1054						
	17		1951		2265		10308		8003		1234						
	18		1825		2265		11936		8866		1648						
	19		1835		2265		12308		9194		1622						
	20		1874		2265		11937		9119		1579						
	21		1890		2265		11858		8676		1480						
	22		1864		2265		11043		8411		1210						
	23		1878		2265		9668		8066		1068						
	24		1866		2265		8845		7286		907						
