12/02/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1083		264		179		64		348		0		0		
	2		1083		264		179		33		322		0		0		
	3		1083		266		179		33		468		0		0		
	4		1084		261		179		31		547		0		0		
	5		1083		267		179		30		474		0		0		
	6		1083		245		178		81		441		0		0		
	7		1082		242		178		105		412		0		0		
	8		1082		246		176		105		513		98		0		
	9		1081		253		177		96		350		315		0		
	10		1032		258		177		96		447		578		2		
	11		1029		259		177		97		589		676		2		
	12		1020		260		175		101		706		516		1		
	13		1011		261		175		100		663		473		1		
	14		1013		261		178		103		1153		443		0		
	15		1015		262		177		104		1063		490		0		
	16		1015		262		177		106		920		300		0		
	17		1016		261		179		128		776		0		0		
	18		1016		262		179		165		903		0		0		
	19		1014		257		179		162		625		0		0		
	20		1010		253		179		164		375		0		0		
	21		1024		252		177		166		265		0		0		
	22		1036		252		177		132		232		0		0		
	23		1033		245		178		116		181		0		0		
	24		1033		252		178		83		195		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1938		2257		10722		5354		547						
	2		1880		2258		10590		4732		511						
	3		2029		2258		10184		4565		474						
	4		2101		2259		10023		4545		485						
	5		2033		2260		10741		4374		572						
	6		2029		2262		11108		5509		643						
	7		2020		2261		13364		5585		1011						
	8		2220		2260		14477		5833		1211						
	9		2273		2261		15525		5744		964						
	10		2589		2260		15753		5929		876						
	11		2830		2259		15280		6569		899						
	12		2779		2258		15834		6233		779						
	13		2684		2258		15680		6415		842						
	14		3152		2257		15174		6395		705						
	15		3112		2258		14710		6631		754						
	16		2781		2258		15167		6307		1021						
	17		2359		2259		16638		6025		1299						
	18		2526		2261		17805		6046		1634						
	19		2235		2260		17564		6294		1775						
	20		1980		2261		17841		5706		1658						
	21		1884		2262		16525		6384		1379						
	22		1829		2261		14968		6585		1264						
	23		1752		2263		12842		6718		965						
	24		1741		2263		11523		6198		672						
