07/06/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		888		295		201		176		3101		0		0
	2		889		299		200		180		3187		0		0
	3		889		297		200		176		3087		0		0
	4		892		297		200		138		2768		0		0
	5		894		296		200		136		2482		0		0
	6		894		296		199		135		2344		0		0
	7		893		300		199		137		2170		243		0
	8		892		303		199		139		1896		1172		0
	9		890		303		199		179		1557		2159		48
	10		887		304		199		199		1218		3009		308
	11		886		305		199		216		959		3619		407
	12		884		299		199		233		792		3855		497
	13		883		306		200		232		859		3913		588
	14		882		306		201		240		1131		3893		586
	15		885		304		202		238		1572		3717		478
	16		885		304		202		237		2338		3384		293
	17		886		308		202		254		2969		2669		275
	18		886		311		193		296		3193		1913		244
	19		886		317		188		291		3163		1058		172
	20		886		321		188		285		3299		195		36
	21		885		327		190		263		3515		0		0
	22		885		334		192		229		3573		0		0
	23		885		337		194		206		3564		0		0
	24		886		336		197		189		3467		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4661		2271		9203		9066		1083				
	2		4756		2273		7794		9049		938				
	3		4649		2275		7180		9011		900				
	4		4296		2276		6975		8911		935				
	5		4007		2276		7025		8830		864				
	6		3868		2275		6604		9159		787				
	7		3941		2272		6199		9231		837				
	8		4601		2270		6398		9066		1026				
	9		5336		2269		7404		8700		1101				
	10		6124		2268		8272		8811		1159				
	11		6592		2267		9135		8979		1526				
	12		6760		2266		10612		8942		1871				
	13		6980		2267		12172		8513		2189				
	14		7239		2268		13316		8403		2385				
	15		7396		2270		13917		8448		3015				
	16		7643		2270		14395		8705		3218				
	17		7563		2272		14391		8884		3961				
	18		7036		2273		14752		9255		4098				
	19		6075		2271		15300		9195		4254				
	20		5211		2268		15330		9034		3947				
	21		5180		2268		14645		9342		3618				
	22		5213		2269		14165		9091		3266				
	23		5187		2269		12274		9456		2148				
	24		5075		2267		10405		9207		1538				
