12/01/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		916		335		206		310		1333		0		0
	2		919		333		206		311		1278		0		0
	3		920		329		206		271		1161		0		0
	4		919		335		207		270		1387		0		0
	5		919		345		207		266		1354		0		0
	6		919		345		207		269		1448		0		0
	7		918		344		207		295		1331		6		0
	8		918		345		204		295		1315		122		0
	9		915		334		195		300		1307		295		0
	10		913		320		195		309		1072		461		0
	11		913		312		195		314		1198		479		0
	12		916		313		194		313		1413		527		0
	13		914		313		196		310		1404		469		0
	14		912		313		195		309		1296		417		0
	15		913		314		197		314		1193		250		0
	16		913		322		199		313		1062		108		0
	17		912		329		199		317		922		2		0
	18		914		334		199		316		798		0		0
	19		917		331		189		310		735		0		0
	20		917		341		185		307		899		0		0
	21		917		340		181		303		1131		0		0
	22		916		331		180		307		1297		0		0
	23		917		333		180		309		1650		0		0
	24		916		340		181		312		1668		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3095		2206		8233		5608		2273				
	2		3044		2063		7722		5297		2309				
	3		2882		1915		7921		4936		2279				
	4		3113		1766		7478		5228		2024				
	5		3086		1625		7594		5436		2018				
	6		3185		1583		7704		5621		2070				
	7		3102		1585		8277		6098		2050				
	8		3201		1585		8650		6396		2051				
	9		3346		1586		9239		6997		2096				
	10		3272		1586		10159		7325		2070				
	11		3411		1585		10441		7491		2087				
	12		3675		1583		10241		7598		2082				
	13		3605		1583		10039		7802		1988				
	14		3442		1581		9982		7742		2056				
	15		3181		1579		10274		7515		2110				
	16		2916		1579		10519		7740		2018				
	17		2681		1580		11629		7770		2153				
	18		2557		1578		13698		8065		2280				
	19		2479		1578		13499		8311		2362				
	20		2645		1578		13042		8365		2120				
	21		2867		1577		12358		8297		2021				
	22		3028		1577		11512		8181		1890				
	23		3386		1578		10161		7625		1747				
	24		3413		1578		9296		6850		1754				
