12/04/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1059		285		181		138		215		0		0		
	2		1060		287		182		104		317		0		0		
	3		1061		284		182		110		377		0		0		
	4		1061		286		181		112		330		0		0		
	5		1061		287		179		110		280		0		0		
	6		1062		283		182		154		173		0		0		
	7		1061		290		181		156		177		0		0		
	8		1062		289		177		164		188		513		0		
	9		1037		288		179		165		206		1401		0		
	10		1033		278		178		164		281		1957		0		
	11		1033		255		177		150		385		2340		16		
	12		1032		295		177		153		370		2895		22		
	13		1031		296		178		169		366		2827		24		
	14		1030		292		179		138		446		2476		35		
	15		1030		295		179		141		454		2054		86		
	16		1031		296		175		146		467		1018		99		
	17		1042		301		177		176		471		0		0		
	18		1059		311		179		219		504		0		0		
	19		1059		310		179		221		365		0		0		
	20		1060		313		180		216		370		0		0		
	21		1059		313		181		176		193		0		0		
	22		1059		318		180		165		90		0		0		
	23		1059		324		180		152		73		0		0		
	24		1058		319		181		151		61		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1879		2251		10340		5715		788						
	2		1949		2250		9728		5376		777						
	3		2014		2250		9370		5073		818						
	4		1969		2250		9591		4696		846						
	5		1918		2250		9712		5076		888						
	6		1853		2250		10540		5726		941						
	7		1866		2249		12109		6477		1157						
	8		2394		2251		13291		6150		1137						
	9		3275		2252		13246		5873		1150						
	10		3891		2250		12983		5859		1078						
	11		4357		2249		12398		6276		1113						
	12		4943		2248		12444		5728		1093						
	13		4891		2246		12098		6091		1154						
	14		4596		2245		12760		5843		1217						
	15		4239		2236		12715		6161		1218						
	16		3231		2235		13260		6636		1327						
	17		2167		2245		15401		6606		1276						
	18		2271		2246		16923		7078		1366						
	19		2133		2247		16914		7113		1300						
	20		2138		2247		16349		7113		1265						
	21		1922		2248		15900		6812		1317						
	22		1813		2248		14810		6444		1227						
	23		1787		2249		12183		6950		1127						
	24		1770		2249		10686		6671		936						
