09/15/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		878		360		196		135		1408		0		0
	2		879		359		196		127		1382		0		0
	3		879		356		195		91		1441		0		0
	4		879		357		195		88		1436		0		0
	5		879		353		185		88		1261		0		0
	6		880		336		176		126		1166		0		0
	7		880		352		175		127		1065		0		0
	8		879		357		173		127		993		732		0
	9		878		356		177		126		971		2340		90
	10		876		359		163		130		1028		3374		305
	11		876		363		163		133		1041		3896		353
	12		875		362		162		135		984		4092		404
	13		874		365		164		142		984		4098		543
	14		874		365		163		142		1095		4057		571
	15		873		368		164		153		1072		3938		575
	16		873		370		163		205		1032		3556		355
	17		873		371		164		208		1432		2850		350
	18		873		371		165		209		2037		1654		335
	19		874		366		177		201		2372		307		103
	20		876		364		185		226		2460		0		47
	21		877		362		186		215		2750		0		48
	22		878		359		185		171		3082		0		49
	23		879		355		186		128		2965		0		0
	24		879		354		186		124		2675		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2977		2267		15055		6237		599				
	2		2943		2270		13888		6015		490				
	3		2962		2272		12740		6161		608				
	4		2956		2268		12547		6126		627				
	5		2767		2265		12995		5993		736				
	6		2682		2264		14100		6040		587				
	7		2599		2262		14995		7359		835				
	8		3262		2263		15691		7622		959				
	9		4937		2265		16396		7496		861				
	10		6237		2266		17225		7376		875				
	11		6825		2267		18880		7333		1175				
	12		7014		2268		20931		7093		1385				
	13		7169		2265		22456		6924		1731				
	14		7266		2265		24237		6971		1777				
	15		7142		2266		25104		7098		2311				
	16		6554		2267		26119		6955		2434				
	17		6247		2265		26351		7329		2502				
	18		5643		2266		25972		7993		2680				
	19		4401		2269		25766		7878		2826				
	20		4158		2267		25321		8455		2890				
	21		4438		2267		24107		8168		2606				
	22		4725		2270		21162		7975		2344				
	23		4513		2272		18201		8155		1279				
	24		4218		2268		16334		7415		593				
