05/17/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		891		251		178		228		3662		0		0
	2		892		247		178		229		3504		0		0
	3		893		237		179		189		3580		0		0
	4		894		240		179		180		3518		0		0
	5		895		243		179		177		3540		0		0
	6		895		243		169		175		3463		0		0
	7		895		248		167		220		3058		295		0
	8		895		251		168		220		2932		1322		5
	9		894		253		173		227		2999		2516		109
	10		894		251		170		238		3365		3314		385
	11		892		251		173		252		3390		3821		453
	12		891		252		179		265		3406		3958		418
	13		888		255		176		273		3512		3958		405
	14		888		263		175		274		3742		3943		440
	15		887		266		174		264		3943		3897		435
	16		886		268		172		263		4131		3583		378
	17		886		269		172		281		4029		2941		175
	18		887		283		172		302		4155		2016		154
	19		887		295		175		302		4225		768		61
	20		885		291		179		304		4021		0		0
	21		887		292		178		295		3895		0		0
	22		889		304		179		265		3888		0		0
	23		891		305		178		236		3799		0		0
	24		893		302		177		215		3796		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5210		2288		7742		7905		1784				
	2		5051		2288		6562		7838		1575				
	3		5079		2288		5848		7680		1503				
	4		5012		2288		5241		7883		1514				
	5		5034		2288		4838		7983		1580				
	6		4946		2287		5088		8053		1601				
	7		4883		2287		4819		8325		1702				
	8		5794		2288		5170		8326		1771				
	9		7169		2288		5813		7990		1758				
	10		8617		2286		5605		7905		1739				
	11		9232		2286		5888		7989		1815				
	12		9368		2286		6455		8087		1881				
	13		9467		2287		7229		7846		1987				
	14		9725		2288		7518		7784		1990				
	15		9867		2289		7956		7575		2214				
	16		9682		2288		8108		7937		2442				
	17		8753		2288		9226		7948		2547				
	18		7969		2288		9264		8196		2929				
	19		6713		2289		9166		8844		2985				
	20		5680		2289		9470		8865		2860				
	21		5548		2289		9649		9233		3108				
	22		5525		2288		8811		9278		2911				
	23		5409		2286		8071		8662		2351				
	24		5383		2287		7156		7931		1822				
