12/24/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1058		253		172		228		133		0		0		
	2		1056		254		172		218		168		0		0		
	3		1049		256		172		184		165		0		0		
	4		1050		256		172		178		162		0		0		
	5		1051		257		171		187		156		0		0		
	6		1050		258		171		227		139		0		0		
	7		1049		268		171		259		132		0		0		
	8		1049		272		168		277		144		472		0		
	9		1048		265		170		268		311		1948		0		
	10		1047		262		170		274		586		2926		0		
	11		1041		257		169		270		867		3233		0		
	12		1045		279		166		268		1101		3247		19		
	13		1045		289		159		273		1128		2718		3		
	14		1045		289		158		274		1569		2160		0		
	15		1052		287		158		279		2076		1255		0		
	16		1062		280		161		297		2110		560		0		
	17		1060		293		165		338		2252		0		0		
	18		1061		296		168		389		2379		0		0		
	19		1062		296		171		385		2445		0		0		
	20		1063		293		170		339		2499		0		0		
	21		1065		288		171		336		2851		0		0		
	22		1065		288		172		329		2541		0		0		
	23		1067		280		171		308		2267		0		0		
	24		1064		268		167		240		2854		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1844		2147		9685		6804		687						
	2		1868		2147		9262		6444		463						
	3		1826		2147		9431		6357		121						
	4		1819		2146		8845		6083		418						
	5		1822		2145		8755		6401		497						
	6		1844		2146		8550		7135		960						
	7		1879		2144		9239		7204		1639						
	8		2381		2146		9381		7558		1510						
	9		4010		2146		8996		7509		1313						
	10		5266		2145		8598		7426		1151						
	11		5837		2145		8323		7437		1121						
	12		6124		2144		8281		7204		1128						
	13		5615		2143		8352		7416		1127						
	14		5496		2144		8378		7438		1103						
	15		5108		2146		8580		7398		1112						
	16		4470		2148		9199		7228		1185						
	17		4109		2148		8719		8750		1368						
	18		4294		2147		9983		9476		1820						
	19		4359		2148		9543		9410		1897						
	20		4363		2149		8910		9186		1813						
	21		4711		2150		8374		8691		1736						
	22		4396		2148		7950		8743		1681						
	23		4093		2150		8292		7991		1293						
	24		4594		2152		7382		7427		761						
