01/09/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1068		291		171		149		12		0		0		
	2		1068		290		171		150		3		0		0		
	3		1068		300		171		149		3		0		0		
	4		1068		313		171		149		4		0		0		
	5		1068		323		171		156		9		0		0		
	6		1069		325		171		195		19		0		0		
	7		1069		323		171		203		30		0		0		
	8		1070		325		169		219		15		335		0		
	9		1069		320		169		215		3		1427		7		
	10		1068		295		170		215		3		2491		22		
	11		1066		295		169		214		4		2833		0		
	12		1065		308		169		214		6		3146		59		
	13		1063		308		174		214		7		3431		100		
	14		1062		310		170		215		18		3301		11		
	15		1061		317		169		223		22		2785		0		
	16		1061		320		173		230		24		1677		0		
	17		1063		322		174		270		23		279		0		
	18		1063		322		174		281		18		0		0		
	19		1064		320		176		281		6		0		0		
	20		1065		321		177		240		18		0		0		
	21		1065		320		173		233		33		0		0		
	22		1065		324		173		227		23		0		0		
	23		1066		335		174		205		25		0		0		
	24		1067		339		172		202		30		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1691		2265		9839		6692		724						
	2		1682		2267		9442		6619		721						
	3		1691		2267		9253		6411		684						
	4		1705		2267		9269		6199		689						
	5		1727		2267		9171		6464		730						
	6		1779		2267		10022		6656		978						
	7		1796		2267		11254		7398		1186						
	8		2133		2268		12381		7484		1239						
	9		3211		2267		12449		6936		1106						
	10		4263		2266		11529		7100		1113						
	11		4581		2267		11879		6706		880						
	12		4966		2268		11653		6435		849						
	13		5297		2266		11019		6463		856						
	14		5086		2266		10979		6671		889						
	15		4578		2268		11289		6681		879						
	16		3486		2267		11576		7108		1153						
	17		2130		2267		12771		7320		1351						
	18		1860		2267		14109		8223		1596						
	19		1848		2266		14320		8204		1603						
	20		1820		2268		13939		7836		1675						
	21		1825		2269		12494		8819		1303						
	22		1812		2268		11809		8551		1254						
	23		1805		2268		10449		8443		1121						
	24		1811		2267		9185		7924		1020						
