12/21/12			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		919		361		173		318		533		0		0
	2		919		357		174		307		449		0		0
	3		918		357		173		308		425		0		0
	4		918		360		175		307		399		0		0
	5		918		355		175		303		331		0		0
	6		918		352		179		314		336		0		0
	7		917		347		184		343		351		0		0
	8		915		345		183		363		324		124		0
	9		915		350		176		362		428		412		0
	10		915		343		179		357		555		701		42
	11		915		347		179		351		548		835		76
	12		916		347		182		333		552		863		61
	13		916		341		184		331		510		815		31
	14		916		335		183		328		575		645		51
	15		916		334		184		334		597		437		72
	16		916		349		181		332		619		147		27
	17		915		353		178		339		622		18		0
	18		916		350		185		372		554		2		0
	19		916		353		182		368		539		2		0
	20		914		356		176		374		445		2		0
	21		914		352		192		375		420		2		0
	22		914		354		201		324		845		2		0
	23		913		356		201		296		935		2		0
	24		913		346		206		288		1043		2		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2302		1638		11360		5970		1691				
	2		2202		1639		10602		5886		1792				
	3		2177		1639		10596		5565		1942				
	4		2157		1639		10515		5845		1901				
	5		2079		1640		11340		5576		1958				
	6		2096		1639		11686		6045		2093				
	7		2140		1638		12966		6691		2386				
	8		2254		1637		13672		7042		2622				
	9		2642		1641		13598		7215		2709				
	10		3091		1674		13267		7165		2676				
	11		3251		1813		13486		6676		2523				
	12		3253		1971		12818		6912		2335				
	13		3126		2119		12575		6321		2471				
	14		3033		2234		12129		6532		2385				
	15		2873		2260		11840		6727		2418				
	16		2567		2261		12294		6563		2482				
	17		2423		2259		13157		6813		2674				
	18		2376		2256		14801		7663		3297				
	19		2359		2258		14888		7684		3392				
	20		2267		2260		14432		7994		3004				
	21		2253		2259		14214		7795		2663				
	22		2638		2261		13261		7611		2127				
	23		2703		2260		12764		6549		1776				
	24		2798		2261		11217		5886		1610				
