01/06/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1066		294		175		185		191		0		0		
	2		1066		288		174		182		220		0		0		
	3		1066		289		174		144		142		0		0		
	4		1067		293		174		144		150		0		0		
	5		1067		293		174		182		201		0		0		
	6		1066		299		171		184		215		0		0		
	7		1066		309		170		198		178		0		0		
	8		1065		309		171		215		146		538		0		
	9		1065		308		171		215		144		2294		51		
	10		1063		307		171		218		125		3550		151		
	11		1062		306		170		213		76		3845		158		
	12		1061		309		170		213		86		3961		290		
	13		1060		309		170		206		95		3800		356		
	14		1060		311		169		205		100		3885		330		
	15		1059		306		158		209		84		3417		344		
	16		1060		308		159		220		64		2099		212		
	17		1061		310		159		226		65		0		1		
	18		1062		311		160		274		74		0		0		
	19		1064		310		162		274		72		0		0		
	20		1064		321		161		274		74		0		0		
	21		1064		282		162		238		67		0		0		
	22		1064		280		162		217		77		0		0		
	23		1064		283		162		199		91		0		0		
	24		1065		284		164		200		78		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1911		2262		9925		6736		243						
	2		1930		2254		10245		6322		-95						
	3		1814		2255		10277		6082		-137						
	4		1828		2258		10238		6009		-130						
	5		1917		2258		10372		6260		94						
	6		1935		2261		10909		6687		560						
	7		1921		2263		12263		7474		1011						
	8		2443		2262		12830		7644		1172						
	9		4247		2262		11576		7235		1003						
	10		5586		2261		10395		7213		725						
	11		5831		2263		10436		6905		608						
	12		6090		2262		10562		6389		546						
	13		5998		2262		10434		6418		571						
	14		6060		2259		10837		6073		575						
	15		5576		2258		11202		6284		534						
	16		4122		2259		11637		7217		672						
	17		1822		2261		13522		7516		1209						
	18		1881		2262		14898		7850		1792						
	19		1881		2262		14675		8233		2021						
	20		1895		2262		14222		8109		1940						
	21		1813		2264		13743		8191		1512						
	22		1800		2264		12878		7811		1278						
	23		1800		2264		12156		7213		810						
	24		1790		2261		10829		6741		617						
