11/29/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1074		277		180		67		438		0		0		
	2		1076		275		179		60		426		0		0		
	3		1076		274		180		24		478		0		0		
	4		1075		276		180		24		593		0		0		
	5		1076		276		179		26		603		0		0		
	6		1077		278		178		68		518		0		0		
	7		1078		277		178		90		446		17		0		
	8		1079		278		177		89		333		982		0		
	9		1079		276		177		89		298		2406		123		
	10		1078		276		177		90		398		3141		295		
	11		1077		276		178		90		622		3818		219		
	12		1076		274		177		92		933		3875		195		
	13		1076		276		178		96		1037		3834		170		
	14		1075		273		179		95		1054		3600		350		
	15		1074		273		179		96		969		2653		239		
	16		1075		283		179		99		767		1177		46		
	17		1076		292		179		142		627		0		0		
	18		1076		300		179		185		549		0		0		
	19		1076		294		179		151		455		0		0		
	20		1076		278		179		148		325		0		0		
	21		1077		278		178		148		258		0		0		
	22		1077		276		178		138		295		0		0		
	23		1078		278		178		114		364		0		0		
	24		1079		279		178		104		334		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2036		2266		7007		8395		631						
	2		2016		2269		6290		8385		532						
	3		2031		2269		5913		8232		490						
	4		2148		2268		5685		8082		443						
	5		2159		2267		5723		8113		513						
	6		2120		2267		5691		8410		777						
	7		2086		2265		6061		8536		867						
	8		2937		2264		6105		8325		738						
	9		4448		2265		5673		8294		595						
	10		5456		2265		5659		8093		629						
	11		6279		2266		5562		7717		755						
	12		6623		2265		5795		7325		757						
	13		6667		2265		6091		7227		556						
	14		6626		2266		6126		7144		580						
	15		5483		2264		6643		7523		805						
	16		3624		2263		8142		7890		1063						
	17		2315		2265		9865		8308		1399						
	18		2289		2264		11405		8781		1681						
	19		2155		2265		11533		8853		1587						
	20		2005		2265		11423		8668		1559						
	21		1939		2266		10861		8609		1566						
	22		1964		2266		10123		8481		1353						
	23		2011		2267		9230		8176		1120						
	24		1974		2267		7855		8261		872						
