01/01/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1071		290		165		195		585		0		0		
	2		1071		278		165		194		360		0		0		
	3		1071		268		165		204		207		0		0		
	4		1071		268		162		206		195		0		0		
	5		1072		265		164		194		165		0		0		
	6		1072		265		165		193		104		0		0		
	7		1071		268		165		210		101		0		0		
	8		1071		271		165		203		98		471		0		
	9		1070		270		163		207		91		2088		0		
	10		1071		267		158		209		83		3334		57		
	11		1070		269		153		204		101		3801		239		
	12		1068		267		153		171		86		3866		331		
	13		1066		268		154		173		65		3848		404		
	14		1069		266		154		170		67		3767		454		
	15		1070		264		154		169		61		3203		448		
	16		1071		271		154		208		44		1892		330		
	17		1071		270		156		220		29		0		12		
	18		1071		268		156		270		36		0		0		
	19		1071		270		156		268		23		0		0		
	20		1072		268		156		269		13		0		0		
	21		1072		267		156		232		18		0		0		
	22		1072		268		156		217		24		0		0		
	23		1072		267		156		213		30		0		0		
	24		1072		264		156		209		25		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2306		1085		12461		7181		496						
	2		2068		1084		11571		7435		548						
	3		1914		1085		11488		6944		604						
	4		1902		1085		11363		6705		632						
	5		1860		1084		11423		6889		444						
	6		1798		1084		11400		7311		549						
	7		1815		1084		11536		7535		902						
	8		2279		1084		11401		7242		981						
	9		3891		1083		10689		6579		772						
	10		5178		1083		9664		6156		621						
	11		5837		1083		8986		6150		547						
	12		5942		1083		8994		5879		381						
	13		5979		1082		8900		5606		294						
	14		5947		1082		8577		5630		314						
	15		5370		1083		8690		6010		365						
	16		3970		1081		10261		6023		637						
	17		1758		1082		11862		7667		1251						
	18		1803		1083		14141		7914		2230						
	19		1788		1083		14616		8227		2419						
	20		1777		1083		14801		8009		2335						
	21		1744		1108		14328		8372		2071						
	22		1736		1131		13128		8830		1896						
	23		1738		1133		12714		8427		1254						
	24		1726		1131		12045		7834		862						
