12/30/12			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		865		358		215		312		53		0		0
	2		865		366		214		310		209		0		0
	3		866		369		214		305		458		0		0
	4		865		370		214		303		576		0		0
	5		865		370		215		305		487		0		0
	6		865		373		215		303		529		0		0
	7		864		372		215		319		541		0		0
	8		864		374		214		324		420		44		0
	9		862		373		214		336		459		188		0
	10		862		372		214		336		587		430		0
	11		861		372		214		336		760		582		0
	12		861		372		214		332		1092		509		0
	13		861		370		212		340		1151		418		0
	14		862		370		212		338		1237		418		0
	15		862		361		213		339		1384		290		0
	16		861		366		213		341		1524		149		0
	17		862		370		204		338		1701		17		0
	18		873		369		204		371		1908		0		0
	19		914		368		208		371		1845		0		0
	20		913		367		212		372		1852		0		0
	21		912		367		214		339		1767		0		0
	22		912		367		214		338		1806		0		0
	23		915		366		214		324		1890		0		0
	24		916		367		214		312		1737		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1799		2269		10354		5822		1620				
	2		1960		2269		9771		5766		1577				
	3		2208		2268		8785		5842		1646				
	4		2326		2266		8705		5634		1544				
	5		2239		2268		8802		5578		1682				
	6		2281		2267		9172		5634		1680				
	7		2308		2267		9014		6131		1840				
	8		2239		2268		9461		6110		1890				
	9		2432		2269		9990		5881		2035				
	10		2801		2268		9524		6216		2024				
	11		3125		2269		9368		6143		2073				
	12		3379		2267		9131		6113		1943				
	13		3353		2266		9108		6030		1952				
	14		3437		2267		9051		5687		2000				
	15		3449		2266		9271		5449		2008				
	16		3455		2266		9661		5355		2066				
	17		3491		2266		10064		5961		2358				
	18		3723		2265		11795		7138		2769				
	19		3704		2265		12179		7504		2853				
	20		3712		2268		12498		7319		2544				
	21		3596		2269		12591		7023		2327				
	22		3634		2268		11843		6843		2210				
	23		3706		2269		11701		5623		1816				
	24		3543		2269		10744		5232		1768				
