01/10/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		928		355		204		313		2729		0		0
	2		929		359		204		282		2973		0		0
	3		929		361		205		277		2573		0		0
	4		928		364		204		272		2308		0		0
	5		928		364		203		270		3249		0		0
	6		928		362		201		307		3116		0		0
	7		927		355		202		339		2810		0		0
	8		927		356		202		372		2675		32		0
	9		924		354		199		373		2541		253		0
	10		923		333		193		375		2465		529		0
	11		922		335		201		381		2665		612		0
	12		922		336		200		385		2820		621		4
	13		922		335		198		367		2742		539		18
	14		922		337		200		396		2670		526		21
	15		923		340		200		396		2629		523		31
	16		923		338		201		390		2485		314		37
	17		923		345		203		413		2418		69		8
	18		922		342		203		450		2185		24		0
	19		923		340		201		458		2515		27		0
	20		924		338		202		458		2768		27		0
	21		923		341		202		459		2558		24		0
	22		925		343		202		422		2574		25		0
	23		927		340		202		365		2211		23		0
	24		927		343		203		336		2775		21		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4527		2267		9399		4335		1287				
	2		4744		2266		8398		4610		1186				
	3		4342		2268		8416		4590		1233				
	4		4074		2267		8894		4328		1231				
	5		5011		2270		8081		5049		1141				
	6		4912		2270		8886		5563		1523				
	7		4631		2272		10848		6168		2033				
	8		4564		2271		10861		7674		2126				
	9		4644		2271		10951		7745		2027				
	10		4818		2270		10757		7730		2088				
	11		5116		2271		10461		7743		2079				
	12		5288		2269		10294		7584		1958				
	13		5122		2267		10372		7404		1927				
	14		5073		2266		10396		7107		1995				
	15		5043		2266		10246		6985		1942				
	16		4687		2267		10257		7240		2112				
	17		4374		2270		10606		7930		2255				
	18		4122		2271		12345		8814		2959				
	19		4464		2272		13334		8524		2862				
	20		4718		2273		12913		8653		2560				
	21		4507		2273		12850		8410		2271				
	22		4489		2272		11670		8263		1984				
	23		4067		2272		10981		7168		1779				
	24		4603		2271		9966		5705		1442				
