06/29/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		888		361		208		210		3512		0		0
	2		892		358		206		201		3344		0		0
	3		893		359		205		195		3049		0		0
	4		893		363		207		166		2701		0		0
	5		894		362		208		161		2647		0		0
	6		893		370		208		167		2534		0		0
	7		893		369		208		175		2366		322		0
	8		892		368		207		183		1971		1441		80
	9		889		366		205		225		1280		2582		403
	10		887		366		206		228		787		3327		492
	11		882		367		206		234		493		3800		504
	12		881		367		207		261		326		4006		511
	13		879		365		207		273		259		4033		511
	14		879		364		207		271		272		4023		506
	15		879		368		207		283		387		3955		501
	16		880		367		206		283		696		3698		513
	17		880		367		208		283		1181		3196		548
	18		879		368		208		325		1714		2458		485
	19		879		370		200		321		2084		1314		343
	20		879		371		196		319		2195		280		52
	21		877		368		196		264		2437		0		0
	22		879		366		195		273		2485		0		0
	23		879		361		196		248		2283		0		0
	24		880		361		196		234		2391		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5178		2286		6919		8701		1373				
	2		5000		2287		5991		8810		949				
	3		4702		2286		5691		8677		892				
	4		4330		2285		5757		8815		835				
	5		4271		2284		5508		8943		814				
	6		4171		2284		5536		9012		772				
	7		4334		2283		5281		8721		1101				
	8		5142		2282		5421		8376		1302				
	9		5951		2281		5771		8774		1213				
	10		6292		2282		6609		8732		1437				
	11		6486		2282		7895		8496		1539				
	12		6558		2283		8918		8555		1981				
	13		6528		2283		10516		7851		2526				
	14		6522		2284		11788		8183		2459				
	15		6581		2284		12387		8575		2950				
	16		6644		2282		13438		8660		2999				
	17		6663		2281		13496		8978		3479				
	18		6437		2280		13803		9169		3644				
	19		5511		2281		14289		9306		3803				
	20		4292		2281		14446		9254		4021				
	21		4142		2281		14290		9396		3573				
	22		4198		2282		13281		9684		3269				
	23		3967		2282		11449		9943		2436				
	24		4062		2281		9717		9246		1816				
