07/29/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		882		335		207		181		1968		0		0
	2		883		336		206		172		1876		0		0
	3		887		339		207		152		1780		0		0
	4		888		339		207		132		1732		0		0
	5		888		344		207		130		1730		0		0
	6		888		343		207		169		1724		2		0
	7		887		341		207		183		1408		153		0
	8		883		341		204		199		841		932		0
	9		884		352		204		232		548		2069		118
	10		882		361		206		231		425		3037		257
	11		878		364		206		236		433		3588		324
	12		868		361		207		236		627		3745		353
	13		823		366		207		267		990		3743		405
	14		820		369		205		296		1344		3645		327
	15		820		367		203		322		1673		3448		320
	16		821		371		204		401		2253		3265		289
	17		820		369		204		403		2580		2612		280
	18		864		368		206		382		2905		1854		265
	19		875		368		205		394		3055		810		119
	20		875		361		198		353		3273		146		0
	21		876		358		194		302		3618		0		0
	22		879		357		199		287		3476		0		0
	23		884		337		206		255		3419		0		0
	24		884		353		206		231		3459		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3573		2268		12659		8390		850				
	2		3474		2266		11937		8094		667				
	3		3366		2260		11117		8095		622				
	4		3298		2257		10689		7995		631				
	5		3299		2258		10668		8147		683				
	6		3334		2260		11124		8403		741				
	7		3178		2261		11925		8999		795				
	8		3400		2264		13038		8968		1383				
	9		4407		2264		13964		8689		1557				
	10		5399		2265		15012		8462		1511				
	11		6028		2267		16138		7894		2187				
	12		6398		2268		17541		7716		2316				
	13		6801		2268		18379		7417		2947				
	14		7006		2268		19741		7392		3361				
	15		7154		2264		20980		6840		3833				
	16		7604		2261		21148		7239		3729				
	17		7268		2263		21465		7441		4003				
	18		6844		2264		21211		7756		3873				
	19		5826		2264		20318		8297		3978				
	20		5206		2265		19317		8774		3807				
	21		5348		2265		18433		9161		3720				
	22		5198		2265		17457		9020		3135				
	23		5102		2269		15023		9353		2156				
	24		5133		2271		12545		9261		1643				
