12/29/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1070		242		170		211		1613		0		0		
	2		1070		252		170		177		1606		0		0		
	3		1071		263		170		175		1634		0		0		
	4		1072		268		170		173		1670		0		0		
	5		1072		266		170		204		1627		0		0		
	6		1072		266		169		201		1608		0		0		
	7		1070		262		168		234		1458		0		0		
	8		1070		260		167		252		1318		574		0		
	9		1068		261		168		242		1077		2325		27		
	10		1069		262		168		245		688		3580		300		
	11		1069		267		168		235		722		3985		469		
	12		1068		277		168		244		741		4055		466		
	13		1067		292		168		235		868		4014		462		
	14		1067		294		169		231		1063		3822		466		
	15		1067		289		169		230		1234		2952		472		
	16		1064		296		168		236		1256		2028		349		
	17		1065		293		166		255		1117		0		13		
	18		1065		292		163		307		1189		0		0		
	19		1065		291		165		307		1618		0		0		
	20		1069		297		164		296		1647		0		0		
	21		1070		297		166		259		1548		0		0		
	22		1068		270		166		254		1472		0		0		
	23		1070		287		166		219		1884		0		0		
	24		1070		292		166		224		2083		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3306		2149		9146		6158		419						
	2		3275		2151		8772		5752		426						
	3		3313		2150		8363		5813		355						
	4		3353		2150		8318		5842		357						
	5		3339		2151		8611		5990		515						
	6		3317		2151		8709		6971		1001						
	7		3193		2150		9365		7969		1482						
	8		3641		2151		9917		8079		1550						
	9		5167		2150		9385		7931		1268						
	10		6312		2149		9030		7485		916						
	11		6914		2149		8693		7247		810						
	12		7019		2150		8552		6984		735						
	13		7105		2148		8153		6896		686						
	14		7112		2149		8244		6631		617						
	15		6412		2148		8475		6867		749						
	16		5397		2148		9116		7351		952						
	17		2909		2149		11317		8059		1814						
	18		3017		2150		13795		8322		2290						
	19		3446		2150		13905		8278		2368						
	20		3474		2150		13580		8153		2393						
	21		3339		2150		12604		8681		2311						
	22		3229		2151		12126		8574		1577						
	23		3626		2150		11148		7696		1103						
	24		3835		2150		10095		6906		527						
