12/06/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1056		322		178		150		179		0		0		
	2		1059		319		178		148		209		0		0		
	3		1059		320		177		124		202		0		0		
	4		1059		321		177		123		188		0		0		
	5		1060		322		176		139		148		0		0		
	6		1060		321		176		183		194		0		0		
	7		1061		321		176		186		243		0		0		
	8		1062		323		177		186		194		415		0		
	9		1061		323		178		187		132		1519		0		
	10		1061		320		178		190		133		2740		0		
	11		1061		319		176		190		104		3347		0		
	12		1060		319		175		191		96		3585		0		
	13		1059		307		175		189		89		3515		64		
	14		1058		296		175		188		68		3346		273		
	15		1058		286		172		189		69		2698		336		
	16		1058		290		176		191		61		1383		152		
	17		1060		294		176		221		68		0		0		
	18		1062		290		176		257		68		0		0		
	19		1061		291		177		254		68		0		0		
	20		1061		289		177		223		78		0		0		
	21		1059		286		178		220		54		0		0		
	22		1058		288		178		219		57		0		0		
	23		1060		278		178		216		62		0		0		
	24		1060		279		177		193		61		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1884		1125		10951		6358		865						
	2		1913		1124		9379		6995		698						
	3		1882		1124		8759		7044		684						
	4		1868		1124		8630		6951		677						
	5		1845		1124		8793		6896		736						
	6		1933		1124		9163		6849		874						
	7		1987		1125		8933		7585		1168						
	8		2356		1126		9304		7325		1220						
	9		3400		1125		9478		6947		1361						
	10		4623		1125		8969		6980		1235						
	11		5198		1125		8608		7104		1180						
	12		5426		1123		8178		7245		1302						
	13		5398		1122		8623		7095		1021						
	14		5403		1122		8694		6840		1123						
	15		4807		1120		9508		6845		992						
	16		3310		1120		10714		7282		1181						
	17		1818		1122		13145		7318		1463						
	18		1853		1208		14780		7974		1593						
	19		1851		1333		14352		8185		1648						
	20		1827		1459		13910		8021		1625						
	21		1797		1522		13075		8184		1610						
	22		1799		1553		12219		8096		1417						
	23		1793		1559		11587		7555		1174						
	24		1770		1559		10609		7353		828						
