09/20/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		874		313		151		147		1405		0		0
	2		875		313		146		115		1184		0		0
	3		876		315		147		115		986		0		0
	4		876		317		147		114		981		0		0
	5		875		319		147		115		1008		0		0
	6		876		325		147		116		1001		0		0
	7		876		330		145		127		863		0		0
	8		875		329		143		137		582		670		0
	9		874		328		144		137		550		2143		83
	10		873		327		146		174		617		3157		228
	11		872		326		146		177		550		3758		244
	12		871		327		143		184		419		4022		236
	13		870		327		143		188		443		4025		223
	14		870		325		142		193		644		3853		219
	15		869		326		143		193		754		3775		147
	16		870		328		142		209		916		3252		166
	17		870		328		143		210		1279		2699		153
	18		869		330		144		211		1682		1519		37
	19		869		330		147		207		1925		0		0
	20		869		328		148		199		2099		0		0
	21		870		328		148		203		2239		0		0
	22		872		329		148		194		2404		0		0
	23		875		324		150		188		2346		0		0
	24		877		315		151		157		2359		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2890		2263		12607		6510		749				
	2		2634		2258		12286		5978		738				
	3		2439		2260		12320		5465		487				
	4		2435		2259		12021		5319		402				
	5		2464		2261		11964		5264		455				
	6		2466		2259		12295		5443		443				
	7		2340		2261		11765		6917		470				
	8		2736		2266		11906		6846		464				
	9		4259		2265		11552		6819		455				
	10		5524		2266		11164		6744		502				
	11		6072		2265		11393		6646		744				
	12		6203		2262		11912		6427		960				
	13		6221		2259		12321		6436		1144				
	14		6246		2257		12511		6872		1229				
	15		6208		2258		12775		7473		1309				
	16		5882		2260		13728		7551		1470				
	17		5681		2262		14083		7748		1647				
	18		4791		2259		14119		8342		1829				
	19		3478		2259		14139		8569		2093				
	20		3644		2260		14120		9326		2014				
	21		3787		2264		14056		8977		1598				
	22		3948		2265		13579		8284		1196				
	23		3883		2268		13208		6808		1080				
	24		3859		2268		12301		5911		818				
