08/14/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		883		345		185		164		889		0		0
	2		883		345		184		136		906		0		0
	3		883		348		185		138		793		0		0
	4		884		348		185		117		705		0		0
	5		883		349		185		117		696		0		0
	6		883		342		187		156		727		0		0
	7		883		336		194		164		742		90		0
	8		882		334		188		176		678		1058		0
	9		881		334		192		197		685		2540		196
	10		879		338		192		176		669		3448		286
	11		879		342		195		188		769		3923		364
	12		879		341		196		198		832		3884		474
	13		877		349		203		214		795		3885		557
	14		877		351		205		219		864		3958		562
	15		876		349		204		236		1205		3970		568
	16		876		352		203		297		1638		3737		653
	17		876		342		201		306		1756		3161		656
	18		876		343		198		274		1826		2305		630
	19		877		338		200		273		1680		959		330
	20		877		326		199		250		1409		0		6
	21		878		324		199		218		1435		0		0
	22		880		322		198		207		1439		0		0
	23		880		303		197		191		1306		0		0
	24		880		322		201		173		1303		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2465		2270		13509		7060		744				
	2		2455		2270		12753		6662		755				
	3		2348		2269		12244		6613		753				
	4		2238		2266		12034		6762		844				
	5		2230		2266		12299		6654		956				
	6		2296		2267		12888		6838		808				
	7		2408		2268		13036		8015		624				
	8		3317		2268		13460		7693		1029				
	9		5025		2268		13169		7946		944				
	10		5988		2269		13823		7811		996				
	11		6660		2267		14757		7692		1073				
	12		6803		2266		15535		7833		1191				
	13		6880		2267		16583		7775		1359				
	14		7036		2267		17367		7805		1962				
	15		7407		2266		17913		7784		2475				
	16		7755		2264		17823		8462		2750				
	17		7297		2262		18590		8543		2892				
	18		6452		2263		18063		9323		3228				
	19		4657		2264		18029		10046		3198				
	20		3068		2265		17981		10225		3138				
	21		3054		2261		18025		10358		2653				
	22		3045		2099		16658		10241		2267				
	23		2877		1693		15962		9476		1174				
	24		2880		1218		14876		8531		750				
