11/16/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1068		304		185		62		2794		0		0		
	2		1072		308		184		57		2922		0		0		
	3		1086		306		184		20		2292		0		0		
	4		1088		305		183		18		1103		0		0		
	5		1088		304		182		58		886		0		0		
	6		1089		307		183		60		1226		0		0		
	7		1089		305		184		68		1377		67		0		
	8		1089		308		183		70		1231		1181		0		
	9		1089		305		183		70		1287		2747		278		
	10		1088		298		184		70		1263		3429		482		
	11		1086		300		183		70		1387		3526		302		
	12		1086		297		182		70		1166		3559		263		
	13		1085		281		183		70		1145		3586		365		
	14		1085		300		184		70		1107		3261		452		
	15		1085		301		184		71		798		2806		440		
	16		1085		297		184		83		711		1412		276		
	17		1085		299		184		93		541		0		4		
	18		1087		299		184		140		389		0		0		
	19		1088		302		185		162		305		0		0		
	20		1090		304		184		164		239		0		0		
	21		1090		307		185		106		253		0		0		
	22		1088		311		185		77		238		0		0		
	23		1088		309		185		65		213		0		0		
	24		1089		311		185		65		234		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4412		2263		8048		4958		343						
	2		4543		2264		7542		4545		322						
	3		3888		2265		7642		4538		493						
	4		2697		2265		8593		4370		625						
	5		2517		2265		8662		4593		513						
	6		2865		2266		8044		5217		628						
	7		3089		2265		7780		5462		789						
	8		4063		2265		7526		5125		728						
	9		5960		2265		7161		4600		624						
	10		6813		2263		6893		4576		727						
	11		6856		2263		7356		4445		708						
	12		6624		2262		7833		4429		705						
	13		6715		2261		7913		4342		647						
	14		6458		2261		8340		4380		646						
	15		5684		2262		9032		4599		768						
	16		4048		2261		9851		5776		915						
	17		2207		2263		12322		6349		1117						
	18		2099		2263		14462		6410		1706						
	19		2041		2262		14316		6782		1734						
	20		1981		2262		13839		7160		1437						
	21		1941		2262		13364		6848		1417						
	22		1899		2262		12450		6578		1249						
	23		1860		2261		11441		6168		928						
	24		1885		2260		10355		5568		879						
