11/08/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		922		270		184		195		1744		0
	2		923		278		184		192		1784		0
	3		923		279		184		193		1746		0
	4		923		280		184		192		1728		0
	5		923		281		184		192		1713		0
	6		922		278		184		192		1506		0
	7		921		275		184		204		1393		30
	8		921		275		184		258		1237		208
	9		914		275		182		264		1418		435
	10		919		275		182		265		1553		524
	11		918		278		179		245		1628		478
	12		917		275		179		243		1503		420
	13		917		273		181		222		1622		288
	14		917		273		183		216		1861		181
	15		918		273		182		212		1741		101
	16		919		276		183		221		1735		55
	17		920		274		184		241		1690		0
	18		920		270		184		273		1550		0
	19		920		263		185		281		1462		0
	20		921		284		186		264		1325		0
	21		921		284		187		264		1145		0
	22		923		286		189		248		1221		0
	23		925		285		187		201		1246		0
	24		925		283		187		194		1602		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3316		2248		9002		5771		1181		
	2		3361		2245		8067		5980		1098		
	3		3324		2246		7747		5966		1140		
	4		3307		2247		7752		5865		1157		
	5		3293		2248		8242		5849		1251		
	6		3083		2247		9192		5996		1377		
	7		3007		2246		10203		6588		1934		
	8		3083		2246		11509		6815		1812		
	9		3489		2249		11738		6784		1907		
	10		3717		2244		12525		6337		1924		
	11		3727		2242		12730		6707		1939		
	12		3537		2241		13078		6762		1887		
	13		3504		2245		12925		6978		1903		
	14		3631		2250		12756		6876		2074		
	15		3427		2249		12639		6980		2091		
	16		3389		2249		12513		7122		2113		
	17		3309		2250		12638		7476		2420		
	18		3197		2250		15040		7386		2166		
	19		3111		2248		14397		7718		2589		
	20		2980		2246		13944		7585		2665		
	21		2801		2245		13660		7297		2353		
	22		2866		2245		12259		7207		1999		
	23		2844		2246		11108		6596		1749		
	24		3191		2249		9518		6262		1654		
