01/12/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		884		334		213		328		1184		0		0
	2		867		334		212		320		1108		0		0
	3		867		337		212		279		912		0		0
	4		867		336		211		279		835		0		0
	5		879		339		211		279		735		0		0
	6		919		345		208		276		587		0		0
	7		920		347		208		326		587		0		0
	8		920		345		196		348		625		80		0
	9		919		346		195		349		538		377		0
	10		922		343		197		352		313		683		25
	11		922		345		209		363		222		838		30
	12		922		343		213		368		170		875		27
	13		922		339		214		368		127		873		25
	14		922		345		214		399		88		782		27
	15		922		340		212		398		74		633		33
	16		922		335		212		399		79		372		38
	17		923		333		211		408		200		71		12
	18		923		341		211		413		322		0		0
	19		922		346		212		412		281		0		0
	20		922		344		213		393		272		0		0
	21		923		345		214		387		203		0		0
	22		923		344		214		390		55		0		0
	23		926		344		214		345		57		0		0
	24		926		345		214		311		112		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2941		2273		11207		5601		1319				
	2		2840		2273		10807		5235		1335				
	3		2605		2273		10909		4987		1450				
	4		2525		2273		11150		4642		1482				
	5		2440		2274		11269		4816		1521				
	6		2333		2274		11551		5210		1583				
	7		2386		2274		11910		6013		1652				
	8		2515		2274		12230		6166		1824				
	9		2724		2274		12372		6289		2018				
	10		2835		2275		12549		6228		1919				
	11		2928		2275		12405		6198		1825				
	12		2917		2273		11948		6316		1718				
	13		2868		2272		11364		6326		1779				
	14		2775		2271		11383		6033		1690				
	15		2608		2270		11615		5692		1687				
	16		2351		2269		11713		5890		1788				
	17		2155		2270		12616		6076		1931				
	18		2206		2270		13547		7563		2583				
	19		2170		2269		14216		7710		2894				
	20		2137		2271		14142		7545		2880				
	21		2064		2271		13863		7662		2622				
	22		1918		2272		13911		7146		2391				
	23		1872		2273		13295		6570		2040				
	24		1891		2273		12482		5968		1768				
