01/13/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1065		288		172		193		442		0		0		
	2		1065		287		172		170		373		0		0		
	3		1066		286		172		169		414		0		0		
	4		1066		290		172		170		324		0		0		
	5		1067		291		172		169		250		0		0		
	6		1067		294		172		199		412		0		0		
	7		1067		302		169		202		513		0		0		
	8		1066		301		165		201		737		329		0		
	9		1066		302		162		202		721		1479		0		
	10		1066		302		161		199		825		2633		0		
	11		1065		302		160		184		644		3380		0		
	12		1064		318		163		180		585		3615		0		
	13		1064		324		165		189		646		3806		0		
	14		1064		323		165		188		527		3529		94		
	15		1064		320		160		189		492		3142		182		
	16		1064		322		166		200		466		2074		138		
	17		1065		325		169		207		454		415		9		
	18		1067		341		173		252		346		0		0		
	19		1067		340		173		253		263		0		0		
	20		1068		340		174		215		209		0		0		
	21		1067		339		174		207		131		0		0		
	22		1067		339		173		200		129		0		0		
	23		1067		334		173		202		167		0		0		
	24		1068		327		173		199		128		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2159		2265		8892		7042		775						
	2		2067		2265		8775		6934		752						
	3		2107		2265		8541		6688		741						
	4		2023		2265		8474		6855		670						
	5		1948		2267		8599		7220		783						
	6		2144		2266		8845		7822		1070						
	7		2253		2266		9995		8685		1328						
	8		2799		2266		10876		8822		1304						
	9		3932		2266		10449		8308		1156						
	10		5185		2265		9551		7979		1065						
	11		5735		2265		9645		7608		864						
	12		5926		2264		9613		7287		857						
	13		6194		2264		9258		7125		886						
	14		5890		2264		9268		7341		870						
	15		5548		2264		9497		7458		893						
	16		4430		2264		9571		8309		1107						
	17		2644		2264		11404		8702		1416						
	18		2179		2265		13400		9195		1926						
	19		2097		2266		13841		9237		2110						
	20		2005		2265		13475		9169		2126						
	21		1916		2265		13065		9120		1809						
	22		1907		2265		11873		8979		1579						
	23		1943		2265		10451		8435		1323						
	24		1895		2266		9304		7855		1164						
