07/05/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		883		333		201		199		2247		0		0
	2		884		331		201		193		2306		0		0
	3		888		331		200		153		2288		0		0
	4		890		330		200		152		2115		0		0
	5		889		333		201		151		1782		0		0
	6		890		333		201		151		1622		0		0
	7		890		337		201		151		1512		251		0
	8		889		336		201		154		1259		1089		7
	9		887		337		202		201		966		2107		178
	10		887		336		202		210		633		2904		244
	11		884		335		201		224		470		3554		265
	12		881		335		201		231		455		3729		253
	13		881		335		201		239		519		3751		212
	14		879		335		201		235		589		3629		122
	15		878		335		201		234		943		3637		0
	16		877		335		203		222		1565		3459		0
	17		878		335		201		217		2042		2809		0
	18		876		335		202		229		2522		1904		0
	19		876		333		202		239		2727		1043		0
	20		876		313		202		278		2886		186		0
	21		878		295		202		265		3043		0		0
	22		879		300		202		219		3287		0		0
	23		880		298		202		191		3232		0		0
	24		881		294		201		190		3164		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3863		2273		9193		9564		1317				
	2		3915		2273		8312		9340		918				
	3		3861		2273		7568		9184		792				
	4		3686		2274		6972		9199		752				
	5		3356		2275		7079		9169		752				
	6		3197		2273		7134		9252		754				
	7		3342		2273		6995		9022		895				
	8		3935		2273		7128		9092		1141				
	9		4878		2271		7927		9083		1241				
	10		5416		2271		8924		9158		1576				
	11		5933		2269		10411		8883		1922				
	12		6084		2267		11604		9179		2162				
	13		6139		2266		12870		9253		2380				
	14		5990		2266		14013		9349		2567				
	15		6229		2266		14653		9021		3248				
	16		6662		2266		14633		9354		3474				
	17		6482		2267		14560		9911		3814				
	18		6068		2268		14744		9986		4075				
	19		5420		2269		14657		10025		4143				
	20		4742		2270		14175		10094		3957				
	21		4683		2269		13578		10133		3736				
	22		4887		2270		13070		9803		3175				
	23		4803		2270		11827		10067		2065				
	24		4730		2270		10662		9486		1343				
