10/20/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		887		303		154		88		1241		0		0
	2		888		302		152		80		1274		0		0
	3		888		301		152		47		1027		0		0
	4		874		300		152		47		672		0		0
	5		836		298		153		86		580		0		0
	6		834		280		151		89		522		0		0
	7		830		278		151		95		378		0		0
	8		830		276		150		88		393		321		0
	9		829		293		151		83		340		1792		70
	10		829		296		151		85		243		3018		475
	11		829		288		151		86		333		3555		545
	12		830		284		152		90		464		3837		522
	13		830		286		155		86		568		3849		509
	14		829		290		155		86		875		3869		296
	15		830		299		154		87		1081		3745		145
	16		830		300		155		98		1203		3257		150
	17		831		303		154		99		1554		1996		220
	18		830		327		142		103		1960		544		46
	19		830		328		142		143		2033		0		0
	20		829		326		140		141		1972		0		0
	21		839		324		141		136		2110		0		0
	22		852		316		141		97		2322		0		0
	23		869		304		142		83		2590		0		0
	24		870		302		141		82		2965		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2673		1120		7454		4959		459				
	2		2696		1125		6297		5243		407				
	3		2414		1127		6229		5289		397				
	4		2045		1124		6943		5242		398				
	5		1953		1123		8073		5072		373				
	6		1875		1126		9329		5158		523				
	7		1732		1126		10845		5596		952				
	8		2057		1129		11454		5855		775				
	9		3558		1131		9285		5933		554				
	10		5097		1127		7375		5937		548				
	11		5787		1124		6590		5775		562				
	12		6179		1125		5685		5909		564				
	13		6283		1124		5737		6054		455				
	14		6400		1122		5708		5893		485				
	15		6341		1121		5388		5958		620				
	16		5995		1121		5860		5912		891				
	17		5156		1122		7689		5978		814				
	18		3952		1128		9635		6160		989				
	19		3476		1129		10808		6452		1178				
	20		3410		1125		11515		6228		1155				
	21		3550		1124		10335		6309		1065				
	22		3730		1126		9255		6121		750				
	23		3988		1128		7655		5780		498				
	24		4361		1129		5868		5257		440				
