12/19/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1050		258		184		208		162		0		0		
	2		1051		253		183		205		159		0		0		
	3		1049		251		184		202		180		0		0		
	4		1049		256		184		201		235		0		0		
	5		1048		256		185		203		201		0		0		
	6		1048		257		185		246		241		0		0		
	7		1047		266		183		260		317		0		0		
	8		1047		263		182		277		275		513		0		
	9		1048		264		183		258		258		1418		0		
	10		1051		266		183		257		159		2412		40		
	11		1050		267		184		261		229		2853		78		
	12		1050		267		184		261		408		2773		65		
	13		1052		268		183		260		615		2767		7		
	14		1055		270		184		261		629		2279		0		
	15		1055		264		182		259		420		2095		16		
	16		1054		264		183		270		388		837		1		
	17		1054		257		183		293		434		0		0		
	18		1055		262		182		331		536		0		0		
	19		1056		253		180		296		1052		0		0		
	20		1056		273		179		292		1170		0		0		
	21		1055		272		169		292		988		0		0		
	22		1053		272		171		292		798		0		0		
	23		1053		272		171		281		632		0		0		
	24		1054		271		171		256		769		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1863		2140		9778		7529		586						
	2		1851		2141		9155		7527		441						
	3		1867		2142		8890		7538		242						
	4		1925		2140		8691		7520		286						
	5		1893		2141		9212		7534		340						
	6		1977		2143		9800		7727		785						
	7		2075		2144		10640		8328		1444						
	8		2557		2144		12194		7705		1507						
	9		3429		2145		11533		7927		1438						
	10		4368		2145		10610		8220		1349						
	11		4922		2144		10417		8153		1114						
	12		5007		2143		10105		8202		1128						
	13		5154		2142		9768		8230		1154						
	14		4677		2141		10475		8120		1150						
	15		4290		2141		10488		8223		1280						
	16		2996		2141		11636		8335		1420						
	17		2222		2141		11895		9362		2010						
	18		2367		2141		13941		9270		2323						
	19		2836		2142		13439		9356		2201						
	20		2969		2143		13095		9281		1897						
	21		2777		2142		12829		9085		1695						
	22		2586		2142		12022		8960		1602						
	23		2409		2141		11355		8390		1219						
	24		2521		2141		10181		7588		802						
