12/05/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1059		301		179		147		62		0		0		
	2		1059		302		179		145		53		0		0		
	3		1058		300		180		111		40		0		0		
	4		1058		302		179		114		36		0		0		
	5		1057		283		180		104		30		0		0		
	6		1057		289		180		149		30		0		0		
	7		1057		291		179		158		25		0		0		
	8		1057		292		176		153		17		337		0		
	9		1056		307		176		146		32		1001		0		
	10		1055		308		179		151		95		1456		1		
	11		1054		303		178		150		124		1682		0		
	12		1054		329		175		151		132		1974		0		
	13		1052		326		177		157		163		1759		0		
	14		1051		329		174		163		227		1313		1		
	15		1051		331		174		157		233		875		1		
	16		1051		334		177		154		261		428		1		
	17		1051		334		176		179		225		0		0		
	18		1051		333		177		221		207		0		0		
	19		1051		333		178		221		213		0		0		
	20		1051		327		177		185		228		0		0		
	21		1053		317		178		181		254		0		0		
	22		1053		317		178		185		220		0		0		
	23		1052		318		179		178		190		0		0		
	24		1053		319		178		155		191		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1748		2158		10184		5881		893						
	2		1739		2022		9242		6200		875						
	3		1689		1849		9129		6208		838						
	4		1688		1664		9335		5892		843						
	5		1653		1493		10074		5949		838						
	6		1704		1362		11146		6300		909						
	7		1710		1252		13330		6234		1297						
	8		2032		1195		14359		6326		1253						
	9		2719		1179		14289		6272		1129						
	10		3244		1126		14274		6526		982						
	11		3491		1126		14182		6682		1033						
	12		3815		1126		14155		6542		987						
	13		3635		1125		14187		6644		1036						
	14		3257		1125		14513		6641		1111						
	15		2822		1124		14497		6682		1334						
	16		2406		1124		14912		6672		1317						
	17		1965		1125		16300		6815		1408						
	18		1988		1124		17779		7209		1447						
	19		1996		1124		16761		7795		1466						
	20		1968		1124		16049		7693		1495						
	21		1983		1125		15318		7663		1387						
	22		1954		1125		14167		7598		1432						
	23		1917		1124		13148		7120		1326						
	24		1896		1125		11249		7323		1080						
