12/28/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1069		241		157		220		104		0		0		
	2		1069		238		157		222		123		0		0		
	3		1069		240		157		219		162		0		0		
	4		1069		238		157		219		196		0		0		
	5		1069		243		157		220		114		0		0		
	6		1069		241		157		222		87		0		0		
	7		1069		243		157		247		77		0		0		
	8		1068		242		157		247		133		388		0		
	9		1068		240		157		255		87		1578		0		
	10		1067		231		156		243		79		2705		0		
	11		1066		228		156		229		51		3193		0		
	12		1064		237		161		221		62		3439		0		
	13		1061		242		162		189		74		3574		56		
	14		1060		243		158		189		196		3308		165		
	15		1062		243		159		200		472		2586		411		
	16		996		241		164		273		810		1583		333		
	17		1061		255		166		286		1048		0		10		
	18		1065		258		167		349		1162		0		0		
	19		1065		260		167		352		1231		0		0		
	20		1066		262		167		311		1303		0		0		
	21		1067		257		169		305		1660		0		0		
	22		1067		261		168		281		2108		0		0		
	23		1068		263		169		263		1665		0		0		
	24		1068		259		169		239		1551		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1791		2149		10229		7290		311						
	2		1809		2149		9326		7366		161						
	3		1846		2150		8589		7551		160						
	4		1880		2150		8374		7501		212						
	5		1802		2151		8455		7391		430						
	6		1777		2152		8396		7583		703						
	7		1793		2151		8404		8153		970						
	8		2235		2151		8314		8195		1100						
	9		3384		2150		8024		8141		965						
	10		4483		2150		7314		8147		884						
	11		4922		2150		6919		7972		812						
	12		5184		2150		6861		7380		639						
	13		5358		2149		7080		6886		456						
	14		5318		2150		7230		6833		307						
	15		5133		2149		7508		6801		280						
	16		4401		2148		7796		7314		543						
	17		2826		2149		9144		8413		1276						
	18		3001		2149		11364		9145		1847						
	19		3075		2148		12122		9178		1769						
	20		3109		2149		12179		8955		1688						
	21		3457		2149		11585		8697		1644						
	22		3885		2148		10363		8511		1448						
	23		3426		2150		10067		7544		1218						
	24		3286		2150		9230		7183		673						
