04/10/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		907		244		159		310		1042		0		0
	2		906		244		159		307		740		0		0
	3		906		245		160		306		890		0		0
	4		906		249		160		305		987		0		0
	5		906		246		160		304		844		0		0
	6		905		242		159		303		539		0		0
	7		903		245		158		318		168		9		0
	8		904		255		156		330		134		239		0
	9		901		256		156		336		283		665		146
	10		899		256		154		348		506		1039		297
	11		899		258		154		349		414		1266		315
	12		898		255		154		351		315		1302		307
	13		898		254		153		356		338		1340		298
	14		897		255		152		356		243		1343		297
	15		896		258		153		352		268		1324		307
	16		896		260		151		351		539		1252		314
	17		894		262		152		362		1294		1019		309
	18		895		259		154		375		2237		643		283
	19		895		257		155		352		3222		179		118
	20		896		256		153		353		3552		0		0
	21		897		254		156		350		3823		0		0
	22		899		259		156		351		4035		0		0
	23		901		257		156		304		4012		0		0
	24		901		256		157		283		3835		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2659		2281		7512		7963		1691				
	2		2353		2280		7198		7901		1461				
	3		2505		2280		6718		7845		1258				
	4		2604		2279		6549		7848		1210				
	5		2456		2279		6989		7888		1332				
	6		2145		2279		7804		8097		1610				
	7		1802		2278		8956		8623		2369				
	8		2017		2278		9991		8562		2642				
	9		2739		2279		10000		8836		2405				
	10		3496		2280		9674		8850		2676				
	11		3654		2280		9766		8983		2779				
	12		3581		2278		10273		9027		2657				
	13		3625		2278		10321		9389		2413				
	14		3542		2277		10746		9302		2384				
	15		3559		2277		10847		9411		2239				
	16		3763		2277		10683		9245		2364				
	17		4292		2277		10334		8900		2378				
	18		4847		2278		9728		8630		2493				
	19		5178		2277		9546		8343		2537				
	20		5209		2279		9828		8731		2946				
	21		5477		2279		10134		8466		3398				
	22		5697		2279		9297		8440		2514				
	23		5627		2279		8666		7839		1870				
	24		5430		2281		7658		7410		1478				
