06/11/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		879		325		206		230		4070		0		0
	2		881		324		205		218		3940		0		0
	3		883		319		204		190		3624		0		0
	4		883		325		205		174		3535		0		0
	5		885		327		204		168		3567		0		0
	6		884		307		204		225		3563		0		0
	7		884		308		203		234		3409		326		0
	8		881		325		201		233		3383		1422		45
	9		883		332		201		239		3325		2540		342
	10		883		338		200		238		3100		3329		438
	11		881		341		201		239		2884		3801		469
	12		880		336		201		233		2784		3992		466
	13		879		337		203		241		2864		3998		497
	14		881		339		203		235		3220		3983		514
	15		880		339		203		235		3628		3940		521
	16		876		339		206		258		4019		3676		529
	17		878		346		207		294		4095		3153		518
	18		878		344		209		258		4108		2380		471
	19		878		343		207		255		4111		1204		271
	20		878		341		207		266		3940		242		16
	21		879		344		207		256		3833		0		0
	22		880		341		206		238		3817		0		0
	23		882		337		206		230		3707		0		0
	24		881		334		206		231		3604		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5709		2278		7527		7952		1355				
	2		5569		2278		6939		7685		996				
	3		5220		2275		6548		7640		872				
	4		5122		2275		6258		7572		1025				
	5		5151		2277		6367		7711		1050				
	6		5183		2279		6927		8071		1003				
	7		5364		2281		7766		8111		1374				
	8		6491		2281		8294		7888		1822				
	9		7862		2281		8565		7676		1674				
	10		8527		2278		9211		7391		1732				
	11		8816		2278		10154		7001		1893				
	12		8892		2279		10855		7010		1930				
	13		9019		2279		11216		6994		1979				
	14		9375		2279		11381		7225		2234				
	15		9745		2278		11627		7029		2735				
	16		9903		2276		11702		7181		3038				
	17		9491		2276		12005		7234		3357				
	18		8648		2278		12232		7457		3526				
	19		7269		2278		12296		7872		3780				
	20		5889		2278		12480		8030		3899				
	21		5519		2279		12831		8357		3559				
	22		5481		2279		12382		8442		2986				
	23		5361		2279		10498		8910		1935				
	24		5258		2278		8472		8655		1529				
