11/12/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1081		256		177		68		2541		0		0		
	2		1082		257		177		68		2821		0		0		
	3		1083		257		177		68		2853		0		0		
	4		1083		256		177		68		2793		0		0		
	5		1083		254		177		68		2747		0		0		
	6		1083		252		176		68		2834		0		0		
	7		1082		264		173		68		2772		96		0		
	8		1082		264		169		68		2624		971		0		
	9		1079		258		169		74		2547		2188		214		
	10		1078		249		168		82		2016		3066		447		
	11		1077		243		158		74		1367		3431		471		
	12		1076		242		153		94		1138		3521		460		
	13		1076		238		155		106		1285		3673		452		
	14		1076		237		158		106		1629		3514		426		
	15		1075		235		161		76		1944		2901		176		
	16		1075		236		161		77		2390		1598		107		
	17		1075		237		167		77		2638		0		8		
	18		1077		237		171		77		2496		0		0		
	19		1079		237		172		77		2755		0		0		
	20		1079		237		172		76		2742		0		0		
	21		1079		237		173		66		2530		0		0		
	22		1081		234		172		75		2194		0		0		
	23		1081		231		173		76		1753		0		0		
	24		1082		223		173		75		1580		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4123		2265		9374		4638		321						
	2		4405		2265		8603		4386		296						
	3		4439		2265		7895		4582		289						
	4		4376		2263		8067		4469		289						
	5		4329		2263		8895		4103		374						
	6		4413		2263		9504		4738		577						
	7		4454		2263		10714		5342		989						
	8		5178		2263		11507		5007		1234						
	9		6530		2263		11684		4666		783						
	10		7106		2261		11916		4426		609						
	11		6820		2261		12272		4627		699						
	12		6684		2262		11982		4961		751						
	13		6986		2262		11776		4837		752						
	14		7147		2262		11618		4965		723						
	15		6569		2262		12019		5275		606						
	16		5643		2262		12230		5891		825						
	17		4202		2264		13728		5994		1303						
	18		4059		2266		15453		6193		1773						
	19		4320		2266		15393		5991		1711						
	20		4307		2264		14966		5983		1410						
	21		4085		2264		14412		5737		1364						
	22		3757		2265		13422		5466		1174						
	23		3315		2267		12680		4876		843						
	24		3133		2266		11186		4807		577						
