08/11/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		889		307		204		170		1462		0		0
	2		890		306		204		161		1393		0		0
	3		890		303		203		125		1260		0		0
	4		890		305		205		125		986		0		0
	5		890		305		204		126		891		0		0
	6		889		306		200		169		972		0		0
	7		888		300		198		178		940		78		0
	8		887		297		197		206		827		819		0
	9		872		294		197		206		568		1999		52
	10		886		295		197		204		485		2943		196
	11		885		299		199		206		374		3540		271
	12		884		301		200		235		358		3792		276
	13		882		309		198		260		438		3865		252
	14		882		310		202		280		457		3700		278
	15		883		309		203		283		479		3460		242
	16		882		311		202		277		718		3160		251
	17		882		310		203		340		1099		2366		254
	18		882		311		204		347		1272		1794		257
	19		882		306		202		347		1514		790		77
	20		884		305		202		309		1574		0		0
	21		885		306		202		273		1649		0		0
	22		887		296		201		239		1725		0		0
	23		888		278		199		195		1706		0		0
	24		888		297		197		180		1688		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3033		2272		11811		7332		873				
	2		2954		2273		11269		6785		721				
	3		2781		2273		11082		6513		747				
	4		2511		2272		10979		6617		731				
	5		2415		2272		11384		6662		802				
	6		2536		2273		12143		6881		765				
	7		2582		2274		13087		7569		800				
	8		3234		2275		13706		7446		1052				
	9		4188		2274		14268		7684		910				
	10		5206		2271		15047		7451		1160				
	11		5775		2272		16441		7176		1264				
	12		6045		2274		17479		7079		1633				
	13		6204		2275		18383		6842		1949				
	14		6110		2273		19759		6803		2251				
	15		5859		2273		20564		6775		2971				
	16		5801		2271		20933		6998		3303				
	17		5454		2269		21660		6759		3518				
	18		5065		2266		20713		7564		3823				
	19		4120		2265		20289		8078		3664				
	20		3273		2269		19822		8114		3524				
	21		3315		2271		19565		8580		3155				
	22		3349		2273		17642		9029		2722				
	23		3265		2275		15872		9056		1404				
	24		3250		2274		13832		8629		888				
