12/05/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		889		344		191		319		433		0		0
	2		889		341		189		279		353		0		0
	3		888		350		191		300		526		0		0
	4		889		354		191		287		842		0		0
	5		889		353		172		272		764		0		0
	6		889		351		191		350		813		0		0
	7		888		349		190		380		857		4		0
	8		889		344		187		380		945		137		0
	9		888		351		187		373		778		333		0
	10		888		347		179		376		723		528		20
	11		888		342		178		374		981		612		17
	12		888		344		177		374		1271		604		18
	13		887		346		179		388		1476		585		29
	14		887		347		180		429		1524		520		1
	15		887		352		180		427		1324		337		0
	16		888		354		185		425		1329		135		0
	17		888		355		186		428		1383		11		0
	18		888		344		186		436		1198		0		0
	19		889		340		185		434		1074		0		0
	20		909		333		183		435		874		0		0
	21		913		332		182		395		1209		0		0
	22		914		330		180		392		1401		0		0
	23		917		325		182		388		1424		0		0
	24		918		337		183		382		1515		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2173		2245		8767		7014		1748				
	2		2048		2244		8529		6697		1797				
	3		2253		2246		8067		6762		1781				
	4		2560		2246		7921		6486		1776				
	5		2447		2247		8261		6568		1404				
	6		2591		2246		9085		6937		1671				
	7		2667		2248		10708		7495		1895				
	8		2881		2250		11469		8085		1975				
	9		2909		2248		11600		8542		2055				
	10		3060		2248		11729		8557		2182				
	11		3388		2251		11755		8533		2233				
	12		3672		2248		11745		8398		2157				
	13		3885		2246		11813		8114		2091				
	14		3889		2248		11578		8344		2133				
	15		3506		2248		12230		7929		2066				
	16		3316		2247		12007		8220		2055				
	17		3253		2251		12476		8423		2439				
	18		3050		2250		14608		8604		2940				
	19		2919		2249		14892		8713		2657				
	20		2731		2248		14263		9076		2456				
	21		3028		2248		13634		8610		2269				
	22		3214		2248		12492		7813		2080				
	23		3234		2249		11309		6980		1853				
	24		3332		2249		9202		6634		1847				
