11/25/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1085		300		166		64		75		0		0		
	2		1085		298		166		25		75		0		0		
	3		1085		306		166		25		73		0		0		
	4		1085		320		166		25		82		0		0		
	5		1086		323		167		25		74		0		0		
	6		1087		325		167		74		69		0		0		
	7		1087		324		167		77		68		42		0		
	8		1087		320		166		77		72		1107		0		
	9		1086		320		167		77		76		2832		154		
	10		1083		303		167		84		66		3682		420		
	11		1080		303		164		84		72		3896		475		
	12		1078		322		167		80		82		3903		458		
	13		1076		334		167		81		117		3923		453		
	14		1075		333		167		89		178		3732		444		
	15		1075		333		166		90		230		3159		407		
	16		1076		335		166		91		385		1656		249		
	17		1078		335		169		98		398		0		0		
	18		1080		335		170		138		352		0		0		
	19		1081		333		170		142		261		0		0		
	20		1082		332		170		142		227		0		0		
	21		1082		330		170		106		183		0		0		
	22		1083		316		169		98		131		0		0		
	23		1083		315		169		91		49		0		0		
	24		1084		314		169		80		53		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1689		2268		9502		7399		433						
	2		1650		2270		8869		7391		350						
	3		1655		2270		8549		7277		328						
	4		1679		2268		8563		7011		341						
	5		1674		2268		9218		6896		353						
	6		1720		2269		10200		6905		705						
	7		1764		2269		11816		7063		990						
	8		2829		2270		11826		7165		985						
	9		4711		2270		10632		7222		875						
	10		5805		2267		9997		7428		647						
	11		6075		2268		10197		7143		572						
	12		6091		2268		9956		7248		637						
	13		6151		2267		9551		7369		791						
	14		6018		2267		9833		7502		756						
	15		5458		2266		10303		7725		768						
	16		3958		2265		11161		8347		906						
	17		2077		2265		13287		8225		1513						
	18		2075		2265		14547		8796		1857						
	19		1987		2266		14764		8424		1856						
	20		1952		2268		14042		8514		1844						
	21		1872		2269		13534		8364		1688						
	22		1797		2266		12489		8347		1390						
	23		1708		2267		11368		8110		934						
	24		1699		2268		10541		7444		512						
