01/04/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1070		279		178		192		66		0		0		
	2		1072		277		179		191		62		0		0		
	3		1071		278		180		192		56		0		0		
	4		1070		278		181		192		64		0		0		
	5		1071		279		180		191		89		0		0		
	6		1071		277		181		190		116		0		0		
	7		1070		278		181		204		98		0		0		
	8		1070		278		180		205		107		559		0		
	9		1072		276		179		201		84		2093		37		
	10		1070		262		179		195		77		3293		273		
	11		1069		262		179		160		38		3811		223		
	12		1068		260		179		159		86		3766		127		
	13		1065		256		179		152		27		3775		0		
	14		1062		258		179		156		20		3424		0		
	15		1063		260		180		156		25		2746		0		
	16		1063		261		180		192		29		1574		0		
	17		1064		261		180		210		19		0		0		
	18		1066		271		180		254		21		0		0		
	19		1068		277		180		261		19		0		0		
	20		1068		278		180		226		27		0		0		
	21		1067		278		181		213		36		0		0		
	22		1067		273		181		198		43		0		0		
	23		1068		274		182		206		76		0		0		
	24		1068		268		182		201		95		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1786		1131		11613		6945		460						
	2		1781		1131		10867		6924		412						
	3		1777		1132		10694		6702		295						
	4		1785		1131		10699		6473		299						
	5		1810		1132		10492		6639		431						
	6		1835		1133		10758		6676		529						
	7		1831		1132		10974		7100		717						
	8		2399		1133		10872		7145		652						
	9		3942		1133		10199		7034		461						
	10		5349		1132		9829		6258		419						
	11		5741		1132		9570		6027		353						
	12		5645		1132		9481		5716		342						
	13		5455		1132		9415		5724		333						
	14		5099		1131		9525		5829		391						
	15		4429		1131		9984		5997		465						
	16		3299		1131		10530		6816		683						
	17		1734		1132		11440		8294		1207						
	18		1792		1131		13569		8419		2348						
	19		1805		1131		13742		8828		2574						
	20		1779		1132		13457		8911		2521						
	21		1775		1235		13198		8893		1994						
	22		1763		1347		12357		8841		1491						
	23		1805		1317		11695		8034		1172						
	24		1813		1335		10586		7730		663						
