12/07/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		924		343		182		327		1431		0		0
	2		924		337		181		290		1108		0		0
	3		924		338		182		275		1258		0		0
	4		924		342		184		276		1072		0		0
	5		924		345		184		285		696		0		0
	6		925		341		183		326		615		0		0
	7		924		331		182		337		348		4		0
	8		923		331		182		352		239		123		0
	9		921		338		183		352		128		307		0
	10		919		342		183		343		67		525		53
	11		918		343		182		351		43		670		70
	12		918		338		183		367		56		739		56
	13		918		337		185		362		50		720		54
	14		918		351		185		390		42		653		65
	15		917		355		185		417		33		449		84
	16		917		358		186		423		54		188		75
	17		917		361		186		423		96		14		7
	18		918		356		185		422		234		0		0
	19		919		353		186		418		453		0		0
	20		918		341		186		391		315		0		0
	21		918		344		186		405		163		0		0
	22		918		346		186		406		80		0		0
	23		921		345		186		380		19		0		0
	24		922		343		186		351		15		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3203		2254		7915		6583		1860				
	2		2838		2254		8094		5800		1878				
	3		2975		2254		7557		6047		1767				
	4		2794		2255		7682		6315		1716				
	5		2431		2257		8142		6550		1893				
	6		2384		2256		8731		7022		1890				
	7		2124		2258		9562		8401		2327				
	8		2148		2259		10981		8382		2403				
	9		2227		2257		11573		8495		2076				
	10		2428		2254		11847		8438		1955				
	11		2573		2253		11871		8472		1889				
	12		2653		2255		11755		8387		1992				
	13		2617		2254		11454		8348		2250				
	14		2590		2253		11638		8162		2246				
	15		2423		2254		11806		7922		2232				
	16		2193		2252		11702		8179		2356				
	17		2000		2251		11846		9006		2609				
	18		2106		2252		14333		8936		2998				
	19		2321		2253		14179		8908		2794				
	20		2144		2252		13416		9169		2660				
	21		2008		2253		13246		8917		2357				
	22		1930		2252		12106		9006		2314				
	23		1844		2254		10976		8577		2168				
	24		1807		2254		9439		8071		2051				
