11/05/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		915		295		187		184		109		0
	2		914		308		186		180		109		0
	3		915		309		185		175		100		0
	4		915		307		186		175		108		0
	5		915		305		186		171		94		0
	6		915		298		186		176		88		0
	7		913		294		186		195		97		39
	8		914		285		185		227		120		263
	9		911		281		182		229		122		656
	10		911		294		182		227		140		862
	11		911		298		178		229		140		919
	12		910		299		178		222		138		916
	13		910		298		179		207		160		885
	14		909		299		179		203		179		823
	15		909		301		180		205		147		705
	16		910		304		185		225		98		420
	17		911		305		187		220		70		57
	18		913		305		188		238		58		0
	19		913		305		185		242		65		0
	20		913		305		185		242		66		0
	21		913		306		184		232		77		0
	22		914		307		183		219		50		0
	23		916		305		183		185		35		0
	24		917		305		184		177		13		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1689		2251		9616		6575		1051		
	2		1697		2252		9041		6689		984		
	3		1683		2252		8806		6876		938		
	4		1691		2250		8885		6956		811		
	5		1672		2250		9613		6759		949		
	6		1662		2250		10323		6852		1135		
	7		1723		2250		10937		6889		1797		
	8		1995		2251		12101		7019		1860		
	9		2382		2251		13004		7143		1637		
	10		2615		2251		13728		7271		1708		
	11		2676		2250		14523		7556		1737		
	12		2663		2251		15064		7775		1734		
	13		2638		2250		15359		7750		2157		
	14		2592		2247		16550		7353		2052		
	15		2448		2247		17180		7085		2118		
	16		2141		2247		17199		7340		1993		
	17		1751		2247		17611		7173		1919		
	18		1702		2247		18310		7364		2298		
	19		1709		2247		17525		7638		2508		
	20		1711		2247		16313		7606		2580		
	21		1712		2248		15556		7665		1783		
	22		1673		2247		13779		7424		1723		
	23		1625		2248		12674		6771		1552		
	24		1596		2248		11203		6587		1219		
