07/13/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		883		327		203		176		3202		0		0
	2		885		327		205		165		2928		0		0
	3		886		327		203		133		2894		0		0
	4		887		327		200		131		2742		0		0
	5		886		323		200		131		2475		0		0
	6		886		323		200		131		2002		0		0
	7		886		334		200		132		1665		194		0
	8		885		333		200		142		1068		1124		16
	9		884		332		200		183		808		2123		337
	10		881		329		199		202		593		2585		538
	11		877		328		199		204		471		3185		578
	12		877		326		198		205		435		3580		595
	13		876		330		203		203		474		3909		592
	14		875		316		204		205		486		3911		537
	15		874		292		205		216		487		3843		410
	16		873		298		205		226		526		3577		375
	17		873		301		205		285		918		3037		313
	18		873		305		206		289		1907		2294		232
	19		874		296		207		287		2819		1189		53
	20		878		297		208		249		3311		219		0
	21		876		297		207		236		3479		0		0
	22		878		296		207		218		3481		0		0
	23		879		304		207		199		3272		0		0
	24		880		315		207		181		3213		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4791		1894		10933		7593		762				
	2		4510		1894		9821		7764		670				
	3		4443		1894		8846		7936		706				
	4		4288		1893		8690		7968		704				
	5		4015		1892		8461		8180		737				
	6		3543		1892		8583		8300		904				
	7		3411		1893		8227		7866		1233				
	8		3770		1894		8699		7709		1462				
	9		4868		1894		9188		7684		1415				
	10		5328		1895		10253		7807		1586				
	11		5842		1895		11740		7531		1821				
	12		6216		1895		13290		7524		1841				
	13		6588		1895		14345		7047		2101				
	14		6534		1896		15276		7234		2433				
	15		6328		1895		16932		6481		2997				
	16		6080		1895		17958		6566		3389				
	17		5930		1896		18740		6694		3566				
	18		6106		1896		18304		7247		3739				
	19		5725		1898		17759		7893		3902				
	20		5162		1897		17363		7772		3937				
	21		5095		1896		16547		8822		3369				
	22		5079		1897		16182		8766		2909				
	23		4860		1897		15135		8230		2048				
	24		4797		1897		13232		8057		1341				
