04/04/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		842		343		208		215		1022		0		0
	2		842		342		208		206		850		0		0
	3		842		343		209		172		735		0		0
	4		842		347		209		172		564		0		0
	5		842		347		210		172		426		0		0
	6		841		344		207		223		554		0		0
	7		841		334		198		249		637		13		0
	8		840		345		196		250		338		584		0
	9		840		346		206		251		236		1658		0
	10		840		343		200		253		352		2571		0
	11		840		351		205		248		442		3073		1
	12		840		352		201		227		580		3270		0
	13		839		354		195		226		861		3346		0
	14		851		352		196		230		1292		3159		0
	15		851		355		197		232		1793		2879		0
	16		851		356		196		238		2102		2581		49
	17		859		359		195		251		2557		1855		42
	18		868		357		194		260		2603		1021		71
	19		880		353		197		279		2238		253		4
	20		885		349		205		311		2221		0		0
	21		888		331		209		310		2470		0		0
	22		890		331		206		264		2520		0		0
	23		890		328		206		236		2969		0		0
	24		890		329		206		231		2808		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2630		2289		8054		7518		765				
	2		2448		2289		7209		7808		767				
	3		2301		2289		7173		7790		688				
	4		2135		2286		7417		7625		685				
	5		1996		2286		7591		7737		808				
	6		2170		2284		8864		7123		1131				
	7		2273		2283		10320		7109		1701				
	8		2553		2283		10401		7786		2067				
	9		3537		2284		10398		7762		1600				
	10		4560		2284		9824		7832		1417				
	11		5160		2285		9171		8102		1285				
	12		5470		2286		9062		7767		1214				
	13		5822		2287		8565		7806		1074				
	14		6080		2287		8343		7554		1107				
	15		6308		2284		7780		7353		1189				
	16		6373		2285		7723		7138		1051				
	17		6119		2284		7921		6864		1242				
	18		5375		2282		7878		7574		1331				
	19		4204		2283		9342		7335		1633				
	20		3971		2285		10937		7427		1718				
	21		4208		2285		10678		7834		2135				
	22		4211		2285		10079		7971		1738				
	23		4629		2287		9133		7376		1298				
	24		4464		2288		8358		6739		950				
