08/28/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		883		342		207		156		2747		0		0
	2		884		343		204		149		2437		0		0
	3		886		345		205		114		2403		0		0
	4		886		348		205		115		2299		0		0
	5		886		347		204		113		2110		0		0
	6		887		347		203		164		2104		0		0
	7		886		343		203		177		1852		47		0
	8		885		341		201		178		1651		982		0
	9		883		340		202		195		1283		2592		227
	10		881		340		202		199		874		3524		471
	11		880		339		201		220		577		4029		498
	12		879		337		201		251		447		4190		515
	13		881		350		201		254		453		4148		529
	14		902		349		200		250		573		4125		531
	15		903		348		196		267		901		4149		533
	16		903		352		197		323		1430		3886		534
	17		901		352		197		325		1786		3311		529
	18		879		351		198		327		2108		2260		489
	19		873		348		197		329		2345		689		184
	20		874		347		199		329		2432		0		0
	21		874		345		199		272		2658		0		0
	22		875		336		199		234		2915		0		0
	23		876		334		199		228		3007		0		0
	24		878		334		199		162		2938		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4337		2267		11778		7325		641				
	2		4019		2268		11443		6789		573				
	3		3952		2267		10719		6635		579				
	4		3852		2265		10333		6670		560				
	5		3660		2265		11080		6280		595				
	6		3705		2266		11901		6518		700				
	7		3508		2268		12574		7697		871				
	8		4238		2269		12845		7946		986				
	9		5722		2264		13175		7885		920				
	10		6491		2264		13603		8301		1021				
	11		6743		2265		14694		8430		1411				
	12		6820		2262		16006		8737		1632				
	13		6816		2260		17293		8922		1897				
	14		6929		2259		18514		8991		2383				
	15		7298		2257		19225		9080		2683				
	16		7625		2257		19708		9211		2981				
	17		7402		2260		20040		9056		3240				
	18		6612		2264		19512		9735		3407				
	19		4966		2265		19606		9898		3510				
	20		4180		2267		19562		9800		3465				
	21		4348		2268		19005		9852		3118				
	22		4559		2268		17050		9843		2203				
	23		4645		2272		14690		9269		1404				
	24		4511		2272		13008		8097		970				
