01/14/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1070		307		172		156		66		0		0		
	2		1070		301		170		156		99		0		0		
	3		1070		306		172		155		95		0		0		
	4		1070		310		173		155		59		0		0		
	5		1070		310		173		189		40		0		0		
	6		1070		310		173		199		44		0		0		
	7		1070		313		173		202		74		0		0		
	8		1070		314		170		202		53		548		0		
	9		1069		315		164		195		44		2161		0		
	10		1068		314		161		195		40		3239		51		
	11		1067		315		162		189		44		3759		236		
	12		1066		332		161		186		37		3899		253		
	13		1065		337		162		186		59		3996		252		
	14		1064		334		164		187		57		4024		253		
	15		1064		334		162		187		62		3590		243		
	16		1065		330		162		195		45		2393		180		
	17		1066		334		166		203		15		572		15		
	18		1067		335		169		246		16		0		0		
	19		1067		328		172		236		23		0		0		
	20		1069		317		172		236		33		0		0		
	21		1069		319		169		200		42		0		0		
	22		1070		320		169		195		47		0		0		
	23		1070		319		169		194		56		0		0		
	24		1070		307		169		193		63		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1769		2266		8679		7556		1238						
	2		1796		2267		8533		7229		1174						
	3		1797		2266		8607		6776		1152						
	4		1767		2266		8471		6986		1083						
	5		1782		2267		8798		6886		1134						
	6		1796		2267		9462		7695		1227						
	7		1833		2266		11190		8435		1437						
	8		2357		2267		12181		8400		1532						
	9		3949		2267		10988		8244		1241						
	10		5070		2266		10292		7683		1077						
	11		5772		2265		9623		7590		958						
	12		5934		2265		9347		7415		902						
	13		6057		2265		9184		7145		857						
	14		6083		2265		8852		7257		805						
	15		5641		2265		9124		7364		1021						
	16		4371		2267		9720		8111		1179						
	17		2370		2267		11858		8255		1640						
	18		1833		2266		13657		9017		2081						
	19		1826		2265		13761		9468		2156						
	20		1826		2266		13619		9224		2013						
	21		1800		2266		13242		9042		1767						
	22		1801		2266		12060		8822		1566						
	23		1808		2268		10733		8408		1285						
	24		1802		2267		9356		8118		1137						
