06/18/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		875		351		206		203		3149		0		0
	2		875		353		204		198		3288		0		0
	3		876		352		204		180		3200		0		0
	4		874		351		204		182		2970		0		0
	5		870		349		204		181		2743		0		0
	6		876		333		203		206		2331		0		0
	7		876		334		198		212		1738		354		0
	8		876		334		194		232		1077		1514		49
	9		876		350		189		231		640		2485		317
	10		874		343		194		230		625		3216		476
	11		871		345		198		230		388		3800		532
	12		870		345		199		251		188		3880		604
	13		869		345		201		267		107		3941		652
	14		868		357		200		272		146		3953		662
	15		868		359		201		282		273		3946		550
	16		868		363		201		295		795		3693		543
	17		868		362		202		296		1629		3181		567
	18		868		362		203		297		2418		2412		580
	19		869		356		200		298		3059		1259		410
	20		870		355		202		313		2950		276		45
	21		870		355		205		301		2828		0		0
	22		871		356		204		293		2744		0		0
	23		872		355		205		242		2939		0		0
	24		875		350		205		209		3153		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4783		2279		6665		8991		1044				
	2		4918		2280		5841		8744		974				
	3		4812		2281		5573		8725		974				
	4		4581		2281		5607		8613		1001				
	5		4347		2282		5714		8781		1006				
	6		3949		2283		6264		9320		1180				
	7		3712		2283		7390		9219		1409				
	8		4277		2283		8296		8866		1843				
	9		5088		2283		9295		8464		1667				
	10		5958		2280		9795		8205		1662				
	11		6364		2279		10184		8235		1828				
	12		6337		2279		10795		8092		2176				
	13		6382		2280		10907		8007		2444				
	14		6458		2282		11650		7817		2663				
	15		6479		2283		12252		7973		2766				
	16		6757		2283		11986		8252		3092				
	17		7105		2283		11372		8631		3399				
	18		7139		2284		11469		8656		3477				
	19		6452		2280		11635		8820		3490				
	20		5011		2280		12145		8709		3563				
	21		4559		2279		12488		8853		3555				
	22		4468		2280		12063		9015		3175				
	23		4612		2280		9977		9315		2230				
	24		4792		2278		8100		9119		1807				
