07/18/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		886		360		209		208		3227		0		0
	2		886		358		208		204		2845		0		0
	3		886		358		208		167		2726		0		0
	4		887		359		206		167		2645		0		0
	5		887		359		205		167		2613		0		0
	6		886		340		203		210		2496		0		0
	7		885		342		203		221		2251		228		0
	8		885		344		201		223		1971		1202		9
	9		884		359		204		225		1625		2283		211
	10		882		364		202		209		1337		3111		374
	11		881		367		206		210		1233		3512		550
	12		881		362		205		211		1215		3660		621
	13		881		368		204		222		1207		3914		643
	14		878		367		204		215		1297		4065		646
	15		878		370		206		231		1388		3992		633
	16		878		376		206		271		1523		3726		606
	17		879		373		206		307		1686		3014		565
	18		879		374		205		271		2095		2144		531
	19		880		370		207		267		2395		1105		271
	20		880		368		208		259		2677		173		0
	21		881		368		208		222		2881		0		0
	22		882		364		208		216		3160		0		0
	23		881		365		207		211		3303		0		0
	24		881		362		207		204		3173		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4889		2260		8887		8655		932				
	2		4501		2256		7972		9120		809				
	3		4345		2258		7889		8699		839				
	4		4265		2258		7760		8435		847				
	5		4231		2258		7998		8492		813				
	6		4135		2259		8452		9335		524				
	7		4131		2257		9293		9389		779				
	8		4836		2254		10014		9218		1031				
	9		5790		2254		10544		8867		1311				
	10		6480		2254		10941		8821		1414				
	11		6961		2256		11692		8624		1307				
	12		7156		2249		12188		8614		1248				
	13		7437		2249		12180		8411		1595				
	14		7672		2249		12875		8175		1805				
	15		7699		2251		13272		8226		2276				
	16		7587		2255		13452		8391		2770				
	17		7029		2256		14045		8443		3131				
	18		6498		2256		14342		8659		2978				
	19		5495		2253		14000		8690		3529				
	20		4566		2250		13983		8970		3169				
	21		4560		2246		13510		9588		3016				
	22		4829		2243		13059		9444		2597				
	23		4967		2243		11014		9587		2184				
	24		4828		2244		9731		9365		1548				
