12/08/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1060		242		177		152		97		0		0		
	2		1060		240		175		127		88		0		0		
	3		1060		235		176		127		97		0		0		
	4		1060		236		177		128		121		0		0		
	5		1060		234		178		167		85		0		0		
	6		1059		231		177		166		38		0		0		
	7		1058		227		177		177		50		0		0		
	8		1058		187		176		196		52		327		0		
	9		1056		179		177		182		36		1444		0		
	10		1055		195		176		168		32		2407		0		
	11		1055		219		176		165		60		2915		7		
	12		1054		240		175		166		64		3189		81		
	13		1054		243		176		165		92		2976		179		
	14		1053		247		170		169		92		2741		212		
	15		1053		247		166		178		75		2293		198		
	16		1053		248		171		187		75		1131		86		
	17		1056		244		177		207		36		0		0		
	18		1057		248		179		253		38		0		0		
	19		1057		239		178		252		38		0		0		
	20		1058		230		178		260		50		0		0		
	21		1059		231		178		217		47		0		0		
	22		1059		233		178		204		50		0		0		
	23		1060		229		179		169		44		0		0		
	24		1060		221		179		161		58		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1729		1573		9888		6785		465						
	2		1690		1572		10012		6645		101						
	3		1695		1573		9938		6481		1						
	4		1722		1573		9679		6715		18						
	5		1723		1574		10341		6556		73						
	6		1672		1574		10660		6907		625						
	7		1689		1574		12396		7027		1353						
	8		1997		1573		13879		6614		1311						
	9		3074		1573		13625		6254		1300						
	10		4033		1573		12693		6472		1389						
	11		4597		1573		12270		6683		1240						
	12		4970		1572		11970		6724		1204						
	13		4883		1571		12115		6647		1125						
	14		4684		1572		12216		6847		1246						
	15		4210		1570		13201		6689		1171						
	16		2951		1568		13954		7160		1369						
	17		1720		1570		15842		7252		1505						
	18		1774		1569		17716		7710		1876						
	19		1765		1570		17763		7763		1829						
	20		1776		1571		17160		7876		1671						
	21		1731		1571		16486		7669		1581						
	22		1723		1572		14420		8220		1330						
	23		1680		1572		12332		8074		1124						
	24		1679		1571		10662		7684		847						
