11/26/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1084		314		169		61		57		0		0		
	2		1083		313		169		27		47		0		0		
	3		1082		321		169		26		59		0		0		
	4		1082		322		169		26		65		0		0		
	5		1082		321		168		66		75		0		0		
	6		1082		316		169		68		82		0		0		
	7		1081		315		168		80		91		30		0		
	8		1082		321		166		92		99		1059		0		
	9		1079		321		166		91		100		2764		214		
	10		1077		319		165		84		103		3617		474		
	11		1075		320		167		79		115		3805		481		
	12		1073		323		170		81		100		3856		465		
	13		1071		329		174		81		95		3848		458		
	14		1071		330		177		80		81		3684		457		
	15		1073		329		178		87		72		3075		427		
	16		1074		333		179		100		74		1581		263		
	17		1075		332		180		109		83		0		2		
	18		1077		330		181		164		99		0		0		
	19		1079		331		181		166		115		0		0		
	20		1080		332		181		118		118		0		0		
	21		1081		329		181		113		121		0		0		
	22		1082		306		179		113		124		0		0		
	23		1082		304		178		95		132		0		0		
	24		1083		298		180		79		136		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1685		2268		9587		7116		460						
	2		1638		2268		8987		7049		429						
	3		1657		2267		8561		7003		389						
	4		1663		2267		8629		6866		365						
	5		1712		2268		9094		6814		410						
	6		1717		2268		10121		6948		694						
	7		1765		2268		11200		7661		816						
	8		2818		2269		10812		7960		892						
	9		4736		2268		10023		7541		914						
	10		5840		2268		9715		7433		572						
	11		6043		2267		9783		7429		606						
	12		6068		2266		9935		7399		562						
	13		6057		2263		9886		7297		707						
	14		5879		2264		10330		7310		690						
	15		5242		2265		10654		7642		770						
	16		3604		2264		11590		8262		1012						
	17		1781		2267		13519		8340		1390						
	18		1851		2270		14370		8791		2029						
	19		1872		2270		14129		8642		2026						
	20		1828		2270		13690		8567		1798						
	21		1826		2269		13104		8445		1532						
	22		1805		2269		11994		8444		1358						
	23		1792		2267		11222		7824		999						
	24		1776		2265		9738		7672		695						
