12/17/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1055		233		185		217		49		0		0		
	2		1056		253		185		182		52		0		0		
	3		1055		264		182		183		63		0		0		
	4		1054		251		182		184		101		0		0		
	5		1054		251		184		185		255		0		0		
	6		1054		253		185		232		503		0		0		
	7		1053		257		185		237		687		0		0		
	8		1053		257		182		246		732		187		0		
	9		1053		259		179		242		752		876		0		
	10		1051		258		176		239		715		1486		2		
	11		1050		260		180		228		661		2447		2		
	12		1050		257		180		232		842		2607		0		
	13		1049		264		180		228		1198		1786		0		
	14		1050		259		179		227		1121		1622		0		
	15		1050		256		181		241		1332		1242		0		
	16		1050		253		180		243		1467		723		0		
	17		1051		257		181		275		1658		0		0		
	18		1050		270		182		317		1442		0		0		
	19		1050		269		184		313		1131		0		0		
	20		1050		271		183		277		983		0		0		
	21		1050		253		180		271		1429		0		0		
	22		1050		267		184		270		1506		0		0		
	23		1050		271		181		237		1378		0		0		
	24		1050		266		183		234		1209		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1739		2259		10758		6309		732						
	2		1728		2260		9973		6202		678						
	3		1748		2259		9677		6033		650						
	4		1772		2259		10161		5880		417						
	5		1929		2262		10563		5736		504						
	6		2227		2263		10878		5985		923						
	7		2419		2262		11500		7456		1307						
	8		2657		2263		14612		5307		1531						
	9		3362		2261		14098		5484		1351						
	10		3926		2260		13560		5806		1320						
	11		4828		2261		13156		5539		1063						
	12		5168		2261		12378		5685		1079						
	13		4706		2261		12735		5524		1083						
	14		4459		2260		11343		7274		1054						
	15		4301		2260		11352		7527		1063						
	16		3916		2261		11979		7343		1185						
	17		3421		2260		13288		7465		1817						
	18		3261		2260		15360		7961		2016						
	19		2947		2260		15293		8378		2121						
	20		2764		2260		15007		8387		2154						
	21		3183		2259		14114		8323		1872						
	22		3276		2259		12963		8144		1505						
	23		3117		2260		11756		7434		1161						
	24		2942		2261		10433		6739		820						
