04/18/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		910		293		173		293		467		0		0
	2		910		293		174		293		489		0		0
	3		910		294		174		292		621		0		0
	4		911		298		174		293		807		0		0
	5		911		299		173		292		760		0		0
	6		911		295		174		293		680		0		0
	7		909		280		172		302		548		23		0
	8		908		274		172		324		364		322		0
	9		906		280		171		339		488		829		203
	10		904		281		167		345		771		1192		307
	11		904		283		168		346		727		1421		314
	12		903		282		168		347		683		1476		311
	13		910		277		169		350		529		1482		306
	14		903		280		169		350		521		1479		306
	15		902		284		170		356		494		1458		310
	16		909		289		170		354		356		1340		314
	17		907		292		172		346		228		1062		313
	18		901		292		173		345		143		668		290
	19		901		307		172		337		78		192		117
	20		901		315		171		355		141		0		0
	21		901		314		164		355		203		0		0
	22		902		312		162		348		229		0		0
	23		904		300		161		325		190		0		0
	24		904		291		162		279		207		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2132		2279		7250		8122		1777				
	2		2155		2280		6590		8080		1766				
	3		2288		2280		6450		7766		1710				
	4		2479		2280		6175		7845		1585				
	5		2431		2280		6529		8105		1548				
	6		2350		2281		7315		8419		1817				
	7		2234		2281		8102		8942		2503				
	8		2365		2281		8919		9151		2904				
	9		3216		2280		9093		8932		2569				
	10		3965		2280		9008		8911		2346				
	11		4162		2282		9364		8840		2237				
	12		4170		2284		9489		8578		2474				
	13		4023		2281		9648		8671		2367				
	14		4008		2281		9807		8571		2500				
	15		3974		2282		9507		9092		2626				
	16		3731		2281		9544		9425		2426				
	17		3320		2281		9622		9454		2592				
	18		2811		2281		9929		9426		2642				
	19		2103		2281		10313		9616		2701				
	20		1884		2281		10946		9579		3171				
	21		1934		2281		10946		9882		3895				
	22		1950		2280		10480		9692		3437				
	23		1877		2281		9950		9273		2262				
	24		1839		2281		8590		8831		1822				
