01/15/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1071		290		168		191		38		0		0		
	2		1071		287		168		175		91		0		0		
	3		1071		287		168		139		108		0		0		
	4		1072		290		168		139		116		0		0		
	5		1071		293		168		141		103		0		0		
	6		1071		293		168		187		74		0		0		
	7		1070		299		169		198		70		0		0		
	8		1071		300		169		195		69		558		0		
	9		1070		299		169		193		66		2178		43		
	10		1069		299		171		193		74		3290		156		
	11		1068		301		170		183		93		3695		243		
	12		1068		313		171		183		129		3797		250		
	13		1068		320		172		183		138		3846		240		
	14		1068		318		172		185		138		3839		238		
	15		1067		318		172		185		107		3388		241		
	16		1067		322		172		184		103		2288		185		
	17		1068		318		170		200		115		567		17		
	18		1069		314		172		245		76		0		0		
	19		1069		316		172		244		86		0		0		
	20		1069		334		170		244		106		0		0		
	21		1069		343		170		248		167		0		0		
	22		1070		341		170		201		134		0		0		
	23		1070		342		170		200		150		0		0		
	24		1070		338		170		201		163		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1758		2265		9048		7420		994						
	2		1793		2266		8204		7513		980						
	3		1773		2266		7714		7649		963						
	4		1786		2266		7724		7565		975						
	5		1777		2267		8372		7554		983						
	6		1793		2267		9224		8038		1227						
	7		1806		2267		10732		8956		1494						
	8		2361		2267		11668		8976		1472						
	9		4019		2266		10685		8689		1177						
	10		5254		2266		9741		8468		1022						
	11		5754		2266		9457		8125		935						
	12		5910		2266		9340		7947		795						
	13		5967		2265		9250		7702		786						
	14		5957		2266		9377		7565		728						
	15		5480		2266		9579		7737		729						
	16		4322		2265		9964		8336		1065						
	17		2456		2266		11290		9187		1581						
	18		1877		2266		13087		9708		2105						
	19		1887		2266		13220		10027		2161						
	20		1925		2266		13093		9665		2012						
	21		1998		2266		12351		9658		1799						
	22		1916		2265		11453		9271		1649						
	23		1933		2265		10441		8593		1301						
	24		1942		2266		8848		8478		1066						
