12/02/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		917		339		177		309		1506		0		0
	2		917		331		182		306		1337		0		0
	3		916		332		186		259		1532		0		0
	4		916		286		187		252		1472		0		0
	5		913		294		188		266		1568		0		0
	6		913		289		188		272		1697		0		0
	7		914		276		187		305		1653		5		0
	8		877		258		187		307		1624		126		0
	9		860		260		187		312		1439		301		0
	10		871		273		188		302		1599		454		0
	11		860		290		188		303		1782		530		2
	12		860		298		188		306		2003		515		0
	13		860		310		188		314		2148		478		25
	14		861		314		189		313		1870		388		22
	15		860		321		186		302		1873		248		26
	16		861		317		185		303		1592		126		25
	17		863		308		184		308		1286		0		0
	18		862		325		184		348		1256		0		0
	19		862		334		185		343		1285		0		0
	20		863		337		183		296		1611		0		0
	21		864		332		182		292		1481		0		0
	22		864		332		186		290		1351		0		0
	23		865		337		188		292		1119		0		0
	24		865		338		188		301		937		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3243		1578		8059		7043		1744				
	2		3069		1605		7836		6370		1731				
	3		3220		1613		7133		6284		1763				
	4		3110		1612		7090		6231		1711				
	5		3225		1611		7357		6012		1539				
	6		3355		1611		7426		6195		1520				
	7		3340		1595		7657		6754		1450				
	8		3380		1617		8157		6908		1467				
	9		3358		1617		8843		7363		1564				
	10		3686		1617		9399		7222		1473				
	11		3955		1602		9831		7142		1517				
	12		4171		1578		9354		7580		1534				
	13		4324		1578		9258		7542		1522				
	14		3957		1577		9129		7826		1569				
	15		3818		1577		9117		7866		1624				
	16		3409		1575		9530		7936		1696				
	17		2946		1574		10778		7986		2155				
	18		2973		1575		12635		8712		2503				
	19		3007		1574		12851		8817		2512				
	20		3288		1574		12506		8541		2370				
	21		3149		1575		11975		8563		2270				
	22		3020		1574		11360		8042		2072				
	23		2799		1604		9709		7755		2008				
	24		2626		1618		8590		7143		1910				
