01/08/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		920		363		201		282		64		0		0
	2		921		365		200		241		70		0		0
	3		921		372		200		240		77		0		0
	4		921		375		199		241		97		0		0
	5		923		376		200		240		105		0		0
	6		923		371		199		281		104		0		0
	7		923		368		199		316		87		0		0
	8		922		367		193		338		44		78		0
	9		917		366		196		337		38		316		0
	10		917		364		197		338		29		600		27
	11		917		366		198		339		29		714		31
	12		917		366		200		340		34		778		24
	13		910		363		204		346		28		784		22
	14		908		364		206		376		24		741		22
	15		904		368		203		378		14		590		22
	16		904		369		180		378		16		359		33
	17		905		372		164		381		14		85		7
	18		918		367		158		420		15		7		0
	19		919		363		159		421		31		7		0
	20		919		364		160		423		21		7		0
	21		920		363		160		430		29		7		0
	22		921		363		162		394		38		7		0
	23		923		364		164		350		56		7		0
	24		923		364		175		316		80		7		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1815		2271		9763		6134		1385				
	2		1782		2271		9181		6129		1323				
	3		1793		2271		8920		5994		1291				
	4		1822		2271		8989		5890		1279				
	5		1835		2272		9528		5741		1339				
	6		1860		2271		10427		6349		1532				
	7		1874		2271		11793		7245		2270				
	8		1925		2271		13266		7313		2441				
	9		2153		2271		13384		7295		2285				
	10		2458		2269		13227		7362		2220				
	11		2588		2278		12729		7359		2238				
	12		2649		2269		12839		7208		2126				
	13		2642		2268		12832		6846		2107				
	14		2638		2268		12660		6727		2204				
	15		2471		2268		12692		7134		1710				
	16		2224		2268		12673		7001		2036				
	17		1914		2270		13232		6978		2232				
	18		1871		2271		14779		7934		2613				
	19		1886		2270		14848		8480		2677				
	20		1885		2273		15224		7776		2474				
	21		1901		2271		14450		8089		2049				
	22		1875		2270		13203		7873		1917				
	23		1863		2273		12391		6773		1551				
	24		1862		2272		11163		6110		1171				
