06/28/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		892		322		207		221		3401		0		0
	2		894		326		206		208		3706		0		0
	3		895		327		206		203		3610		0		0
	4		894		327		207		167		3515		0		0
	5		896		328		207		175		3451		0		0
	6		897		336		207		174		3434		0		0
	7		896		342		207		220		3354		309		0
	8		895		355		207		248		3167		1386		58
	9		894		356		206		248		2992		2579		384
	10		892		362		204		249		2629		3321		506
	11		891		364		202		249		2197		3782		546
	12		886		367		203		273		1856		3981		631
	13		883		368		204		291		1629		4008		639
	14		883		361		204		287		1571		4000		636
	15		883		371		205		297		1969		3937		634
	16		882		373		205		289		2453		3688		624
	17		881		371		204		287		3065		3191		590
	18		881		372		206		302		3577		2467		523
	19		882		373		202		338		3783		1316		370
	20		882		373		202		306		3927		285		65
	21		885		370		203		311		3882		0		0
	22		884		371		207		301		3897		0		0
	23		885		369		207		245		3825		0		0
	24		887		362		207		230		3690		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5043		2284		7551		9281		1243				
	2		5340		2284		5977		9253		1039				
	3		5240		2283		5465		9195		980				
	4		5111		2282		5255		9061		1007				
	5		5056		2282		5634		8981		862				
	6		5048		2283		5592		9190		830				
	7		5327		2282		4979		9257		1147				
	8		6317		2282		5091		8870		1270				
	9		7659		2282		4996		8768		1309				
	10		8164		2284		5621		8749		1317				
	11		8231		2285		6810		8594		1423				
	12		8198		2284		7719		8740		1455				
	13		8022		2284		8783		8457		1755				
	14		7941		2284		9112		8698		2304				
	15		8295		2283		9761		8710		2292				
	16		8515		2283		10207		8649		2624				
	17		8589		2284		10158		8763		3091				
	18		8328		2284		10234		9028		3202				
	19		7262		2284		10301		9503		3438				
	20		6040		2284		10530		9534		3549				
	21		5651		2284		10598		9754		3303				
	22		5661		2285		9999		9772		3217				
	23		5530		2285		9163		9530		2392				
	24		5376		2286		7702		9393		1779				
